Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,20.62,22.39,22.63,22.27,22.45,3815500
2010-01-05,20.4,22.15,22.33,22.0,22.32,4186000
2010-01-06,20.32,22.07,22.17,22.0,22.07,3243700
2010-01-07,20.3,22.04,22.05,21.82,22.02,3095100
2010-01-08,20.29,22.03,22.07,21.75,21.92,3733900
2010-01-11,20.31,22.05,22.21,21.94,22.09,4781500
2010-01-12,20.06,21.78,21.92,21.62,21.86,2871000
2010-01-13,20.22,21.95,22.02,21.49,21.8,3418900
2010-01-14,20.52,22.28,22.35,21.82,21.88,6163700
2010-01-15,20.05,21.77,22.43,21.7,22.33,4626600
2010-01-19,20.29,22.03,22.05,21.71,21.72,3563600
2010-01-20,20.18,21.91,21.94,21.6,21.84,4589000
2010-01-21,20.11,21.83,22.25,21.59,22.17,6081400
2010-01-22,19.22,20.87,21.71,20.81,21.71,4263000
2010-01-25,19.4,21.07,21.21,20.91,21.04,3608500
2010-01-26,19.3,20.95,21.1,20.73,21.01,2696800
2010-01-27,19.22,20.87,20.95,20.55,20.89,4362100
2010-01-28,18.9,20.52,21.01,20.38,20.84,4937100
2010-01-29,18.47,20.05,20.87,19.97,20.69,5923000
2010-02-01,19.19,20.84,20.97,20.12,20.14,5585400
2010-02-02,19.44,21.1,21.17,20.81,20.9,5884700
2010-02-03,19.46,21.13,21.38,21.0,21.02,6085600
2010-02-04,19.15,20.79,21.07,20.7,20.96,6632300
2010-02-05,19.22,20.87,20.93,20.16,20.68,9546600
2010-02-08,19.24,20.89,21.23,20.84,20.89,6924100
2010-02-09,19.38,21.04,21.26,20.87,21.12,5150600
2010-02-10,19.27,20.92,21.09,20.66,21.07,3255500
2010-02-11,19.34,21.0,21.18,20.58,20.92,6982400
2010-02-12,19.75,21.44,21.99,21.15,21.92,11457800
2010-02-16,19.93,21.64,21.7,21.44,21.63,6559500
2010-02-17,20.18,21.91,21.99,21.55,21.72,4891100
2010-02-18,20.41,22.16,22.17,21.77,21.87,3313900
2010-02-19,20.56,22.32,22.37,21.9,22.06,4186100
2010-02-22,20.52,22.28,22.38,22.07,22.38,4038100
2010-02-23,20.32,22.07,22.29,21.84,22.24,4366300
2010-02-24,20.58,22.34,22.35,22.07,22.15,3945800
2010-02-25,20.48,22.24,22.27,21.62,22.06,4778500
2010-02-26,20.73,22.5,22.55,22.16,22.3,4678100
2010-03-01,21.14,22.95,22.98,22.48,22.48,4723500
2010-03-02,21.32,23.15,23.28,22.78,22.89,6018200
2010-03-03,21.37,23.2,23.28,23.1,23.19,6419600
2010-03-04,21.25,23.08,23.22,22.78,23.22,6100100
2010-03-05,21.85,23.72,23.78,23.34,23.48,7695200
2010-03-08,21.74,23.61,23.71,23.48,23.68,7017800
2010-03-09,21.92,23.8,23.84,23.51,23.56,7083300
2010-03-10,22.18,24.08,24.14,23.67,23.75,4696700
2010-03-11,22.12,24.02,24.03,23.78,23.88,3942300
2010-03-12,22.02,23.91,24.16,23.84,24.05,4015700
2010-03-15,21.95,23.83,23.96,23.63,23.83,3619200
2010-03-16,22.02,23.91,24.02,23.76,23.88,3285900
2010-03-17,21.99,23.88,24.06,23.83,23.92,3926000
2010-03-18,22.04,23.93,24.02,23.72,23.82,4494700
2010-03-19,22.02,23.91,24.08,23.7,23.91,5882500
2010-03-22,22.22,24.12,24.2,23.67,23.79,3946600
2010-03-23,22.47,24.4,24.47,24.08,24.16,5195800
2010-03-24,22.33,24.25,24.4,24.22,24.31,3791500
