Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,39.45,40.38,41.04,40.36,40.7,1701700
2010-01-05,39.22,40.14,40.31,39.72,40.3,1932400
2010-01-06,39.56,40.49,40.78,40.05,40.05,1406200
2010-01-07,39.55,40.48,40.54,39.55,39.55,1256800
2010-01-08,39.7,40.64,40.82,40.11,40.25,960300
2010-01-11,39.31,40.24,40.8,40.09,40.72,1038400
2010-01-12,38.63,39.54,39.72,38.82,39.43,1910800
2010-01-13,39.17,40.09,40.15,39.41,39.5,810000
2010-01-14,38.65,39.56,39.94,39.25,39.94,1157600
2010-01-15,38.4,39.31,39.66,39.17,39.34,738900
2010-01-19,38.59,39.5,39.52,39.05,39.3,1295000
2010-01-20,38.26,39.16,39.38,38.38,38.75,1865000
2010-01-21,38.33,39.23,39.65,38.95,39.34,1297400
2010-01-22,38.83,39.74,40.64,39.13,39.13,2629300
2010-01-25,39.57,40.5,40.6,40.0,40.01,1396900
2010-01-26,39.62,40.55,41.0,40.26,40.48,1084100
2010-01-27,39.66,40.59,40.74,39.95,40.59,1203200
2010-01-28,38.85,39.77,40.5,39.67,40.5,1206000
2010-01-29,38.54,39.45,40.4,39.42,39.99,948500
2010-02-01,39.56,40.49,40.51,39.5,39.55,1106600
2010-02-02,40.24,41.19,41.35,40.46,40.46,1296200
2010-02-03,40.24,41.19,41.38,40.93,41.19,1147600
2010-02-04,39.99,40.93,41.73,40.69,41.06,1611600
2010-02-05,39.78,40.72,41.13,40.02,41.01,1313200
2010-02-08,39.87,40.81,41.74,40.62,41.01,1721900
2010-02-09,40.61,41.57,41.72,40.77,41.15,1030000
2010-02-10,41.36,42.33,42.85,41.37,41.39,1858600
2010-02-11,41.57,42.55,43.1,42.13,42.41,1548600
2010-02-12,41.82,42.81,42.81,42.0,42.37,1509800
2010-02-16,41.65,42.63,42.98,42.37,42.9,1721200
2010-02-17,41.89,42.88,43.08,42.16,42.68,2253400
2010-02-18,39.23,40.15,40.35,39.08,39.88,7767100
2010-02-19,39.08,40.0,40.34,39.51,39.79,2525300
2010-02-22,39.31,40.24,40.46,39.88,39.97,1706100
2010-02-23,39.29,40.22,40.51,40.05,40.18,1653500
2010-02-24,39.53,40.46,40.53,40.15,40.34,1441500
2010-02-25,39.79,40.73,40.9,40.05,40.08,1328800
2010-02-26,39.86,40.8,40.91,40.4,40.73,1153800
2010-03-01,40.35,41.3,41.45,40.65,40.87,1553400
2010-03-02,40.39,41.34,41.71,41.14,41.42,1221000
2010-03-03,40.53,41.49,41.76,41.23,41.35,1036600
2010-03-04,40.82,41.78,42.0,41.6,41.63,1159700
2010-03-05,41.32,42.29,42.29,41.78,41.97,1914300
2010-03-08,41.13,42.1,42.34,41.7,42.33,3080000
2010-03-09,40.97,41.94,42.36,41.79,42.04,2018700
2010-03-10,41.16,42.13,42.28,41.88,41.91,1692400
2010-03-11,41.4,42.38,42.42,41.92,42.14,1361500
2010-03-12,41.21,42.18,42.55,42.04,42.44,1155000
2010-03-15,41.11,42.08,42.29,41.76,42.25,1806300
2010-03-16,41.33,42.3,42.65,41.85,41.87,843400
2010-03-17,41.37,42.35,42.59,42.11,42.47,1653100
2010-03-18,41.52,42.5,42.55,42.06,42.38,2674100
2010-03-19,42.26,43.26,43.27,42.47,43.26,1915600
2010-03-22,42.64,43.64,43.85,43.02,43.17,1125700
2010-03-23,42.95,43.96,44.11,43.66,43.77,1447500
2010-03-24,42.45,43.39,43.9,43.36,43.71,1290900
2010-03-25,42.09,43.02,43.75,43.02,43.61,1332900
2010-03-26,41.56,42.48,43.21,42.03,42.91,1590400
2010-03-29,41.27,42.19,42.65,42.0,42.65,1278900
2010-03-30,41.31,42.23,42.48,42.03,42.17,715600
2010-03-31,41.01,41.92,42.5,41.89,42.22,1191200
2010-04-01,41.44,42.36,42.46,41.97,42.12,627600
2010-04-05,41.74,42.67,42.97,42.42,42.46,954500
2010-04-06,41.64,42.56,42.81,42.42,42.53,729200
2010-04-07,41.19,42.1,42.76,41.94,42.48,1947000
2010-04-08,41.33,42.25,42.49,41.76,41.99,1365400
2010-04-09,41.22,42.13,42.38,41.84,42.34,1338400
2010-04-12,41.49,42.41,42.52,42.09,42.31,799000
2010-04-13,41.34,42.26,42.62,42.09,42.32,978600
2010-04-14,44.3,45.28,45.33,43.19,43.23,3119800
