Date,Adj Close,Close,High,Low,Open,Volume
2013-01-02,27.61,35.12,35.4,34.1,34.92,13767900
2013-01-03,27.38,34.83,35.0,34.16,35.0,16739300
2013-01-04,27.03,34.39,34.89,34.25,34.62,21372100
2013-01-07,27.09,34.46,35.45,34.15,34.15,17897100
2013-01-08,26.5,33.71,34.64,33.36,34.29,17863300
2013-01-09,26.65,33.9,33.95,33.61,33.61,18800400
2013-01-10,26.73,34.0,34.0,33.33,33.66,15658100
2013-01-11,26.93,33.85,33.9,33.35,33.59,11191500
2013-01-14,27.12,34.09,34.25,33.8,34.01,11584900
2013-01-15,27.52,34.6,34.72,33.71,33.71,13040200
2013-01-16,28.27,35.54,35.54,34.45,34.47,16512700
2013-01-17,28.97,36.42,36.7,35.75,35.75,14424800
2013-01-18,29.69,37.32,37.32,36.04,36.43,17842200
2013-01-22,28.97,36.42,37.25,35.93,36.98,15809700
2013-01-23,30.07,37.8,37.84,36.5,36.91,10981600
2013-01-24,29.8,37.46,38.52,37.23,37.79,11327100
2013-01-25,29.91,37.6,37.84,36.64,37.52,8934600
2013-01-28,29.34,36.89,37.87,36.71,37.65,7140100
2013-01-29,29.68,37.31,37.46,36.25,36.71,8838500
2013-01-30,29.38,36.93,37.53,36.81,36.81,10841800
2013-01-31,29.19,36.69,36.93,36.27,36.84,10720700
2013-02-01,29.58,37.18,37.2,36.52,36.84,9527500
2013-02-04,29.66,37.28,37.3,36.55,36.64,6348000
2013-02-05,29.59,37.2,37.73,37.18,37.42,7284400
2013-02-06,29.54,37.14,37.28,36.86,36.96,5738900
2013-02-07,28.97,36.42,37.57,35.8,37.57,9872500
2013-02-08,28.84,36.25,36.42,35.83,36.37,13858700
2013-02-11,28.52,35.85,36.18,35.75,36.13,6032100
2013-02-12,28.18,35.42,35.9,35.2,35.77,7473800
2013-02-13,28.06,35.27,35.57,35.15,35.42,4859800
2013-02-14,29.09,36.57,36.73,35.01,35.05,7570100
2013-02-15,29.89,37.58,37.81,36.93,36.93,13296300
2013-02-19,30.38,38.19,38.33,37.11,37.54,8292700
2013-02-20,30.71,38.61,39.13,37.61,38.16,8096400
2013-02-21,30.85,38.78,39.03,38.19,38.49,7260900
2013-02-22,30.59,38.46,38.85,38.14,38.79,4490400
2013-02-25,29.73,37.37,38.61,37.37,38.54,4665600
2013-02-26,29.5,37.09,37.6,36.96,37.6,4463000
2013-02-27,29.22,36.73,36.98,36.4,36.97,12238400
2013-02-28,29.37,36.92,37.14,36.5,36.66,10321000
2013-03-01,30.08,37.81,38.07,36.55,36.8,8929400
2013-03-04,30.42,38.24,38.25,37.53,37.53,5420800
2013-03-05,29.84,37.51,38.57,37.29,38.45,6650400
2013-03-06,30.02,37.74,37.86,37.37,37.56,5489500
2013-03-07,29.82,37.49,38.01,37.44,37.65,4442500
2013-03-08,29.7,37.34,37.65,37.16,37.64,4114500
2013-03-11,29.97,37.67,38.15,37.08,37.25,4614400
2013-03-12,29.57,37.17,38.3,37.05,37.7,6523900
2013-03-13,29.57,37.17,37.59,37.04,37.2,3710600
2013-03-14,29.88,37.56,37.59,36.86,37.43,9859700
2013-03-15,30.63,38.5,38.54,37.28,37.44,12208300
2013-03-18,30.36,38.16,38.49,37.99,38.05,5178700
2013-03-19,30.51,38.36,38.4,37.84,38.25,5108400
2013-03-20,31.07,39.06,39.19,38.41,38.5,7072900
2013-03-21,30.62,38.49,38.97,38.48,38.82,4736100
2013-03-22,31.0,38.97,38.97,38.3,38.57,3323400
2013-03-25,31.28,39.32,39.52,38.93,39.12,6065000
2013-03-26,31.99,40.21,40.52,39.57,39.57,7249500
2013-03-27,31.94,40.15,40.29,39.66,40.22,4274800
2013-03-28,32.44,40.78,40.8,39.78,40.26,7263400
2013-04-01,32.71,41.12,41.14,39.96,39.96,5740000
2013-04-02,32.38,40.71,41.22,40.52,41.22,5510700
2013-04-03,32.27,40.57,41.45,40.35,40.75,4122100
2013-04-04,33.09,41.6,41.78,40.62,40.77,20687600
2013-04-05,32.86,41.31,41.5,41.09,41.31,14089800
2013-04-08,33.23,41.77,41.87,41.07,41.27,16449200
2013-04-09,33.85,42.55,43.56,41.8,41.96,8673900
2013-04-10,34.7,43.62,43.77,42.5,42.65,7809200
2013-04-11,34.68,43.2,43.71,43.11,43.42,6494100
2013-04-12,34.59,43.09,43.29,42.62,42.97,4199800
