Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,18.45,26.13,26.18,25.87,26.0,10829000
2010-01-05,18.3,25.92,26.13,25.79,26.13,10562100
2010-01-06,18.4,26.06,26.1,25.84,25.88,11401400
2010-01-07,18.55,26.28,26.28,25.94,26.06,12857200
2010-01-08,18.65,26.41,26.51,26.24,26.27,12148600
2010-01-11,18.74,26.55,26.62,26.42,26.53,10947200
2010-01-12,18.69,26.47,26.65,26.4,26.48,10939300
2010-01-13,19.02,26.53,26.65,26.32,26.32,10538900
2010-01-14,19.04,26.56,26.69,26.39,26.49,8982400
2010-01-15,19.09,26.62,26.66,26.47,26.56,16132500
2010-01-19,19.33,26.96,27.11,26.63,26.65,16663600
2010-01-20,19.34,26.98,27.25,26.68,26.98,14080600
2010-01-21,19.11,26.66,27.11,26.39,26.97,17317200
2010-01-22,18.75,26.15,26.71,26.1,26.55,14599200
2010-01-25,18.81,26.25,26.63,26.16,26.27,10109400
2010-01-26,18.74,26.14,26.23,26.03,26.18,13814500
2010-01-27,18.54,25.86,25.98,25.5,25.96,24107700
2010-01-28,18.56,25.89,26.13,25.74,25.96,13856300
2010-01-29,18.21,25.4,25.95,25.38,25.95,19832000
2010-02-01,18.35,25.59,25.76,25.47,25.48,18361100
2010-02-02,18.73,26.12,26.2,25.53,25.57,17214200
2010-02-03,18.8,26.22,26.28,25.96,26.09,14158800
2010-02-04,18.51,25.82,26.27,25.81,26.27,19169400
2010-02-05,18.56,25.89,25.97,25.57,25.73,22546000
2010-02-08,18.35,25.6,25.89,25.58,25.84,14861100
2010-02-09,18.35,25.6,25.9,25.59,25.74,23229400
2010-02-10,18.32,25.55,25.66,25.27,25.55,15479300
2010-02-11,18.42,25.69,25.77,25.4,25.56,13413200
2010-02-12,18.55,25.88,25.91,25.48,25.53,17566000
2010-02-16,18.78,26.19,26.24,25.8,26.02,15742100
2010-02-17,18.83,26.27,26.38,26.18,26.29,13285700
2010-02-18,18.91,26.37,26.39,26.23,26.24,11171100
2010-02-19,18.7,26.09,26.34,25.95,26.33,20116900
2010-02-22,18.71,26.1,26.16,25.89,26.14,11966200
2010-02-23,18.56,25.89,26.13,25.79,26.02,13961200
2010-02-24,18.69,26.07,26.17,25.87,26.0,14141300
2010-02-25,18.62,25.97,26.0,25.72,25.89,12305700
2010-02-26,18.67,26.04,26.16,25.84,26.0,14675200
2010-03-01,18.67,26.05,26.22,25.98,26.09,9501600
2010-03-02,18.77,26.19,26.25,25.97,26.01,10419300
2010-03-03,18.6,25.95,26.31,25.87,26.2,13975800
2010-03-04,18.6,25.95,26.15,25.87,26.14,13258800
2010-03-05,18.68,26.06,26.1,25.97,25.98,15291700
2010-03-08,18.72,26.11,26.17,25.97,26.09,8986400
2010-03-09,18.85,26.29,26.37,25.97,26.0,12287800
2010-03-10,18.93,26.4,26.65,26.25,26.3,17001000
2010-03-11,19.1,26.65,26.65,26.32,26.41,11900500
2010-03-12,18.75,26.16,26.41,25.77,26.41,33828600
2010-03-15,18.85,26.29,26.29,25.97,26.11,15406400
2010-03-16,18.81,26.24,26.38,26.13,26.31,12421400
2010-03-17,18.75,26.15,26.33,26.05,26.31,15366100
2010-03-18,18.49,25.8,26.17,25.72,26.12,32043300
2010-03-19,18.39,25.65,25.86,25.52,25.65,34032000
2010-03-22,18.53,25.85,26.02,25.57,25.62,15663600
2010-03-23,18.69,26.07,26.1,25.82,25.96,9704400
2010-03-24,18.53,25.85,26.07,25.79,26.03,13205700
2010-03-25,18.41,25.68,26.06,25.67,26.04,17738200
2010-03-26,18.2,25.38,25.8,25.16,25.77,25017700
2010-03-29,18.27,25.49,25.5,25.3,25.47,22003700
2010-03-30,18.06,25.19,25.55,25.18,25.44,27988900
2010-03-31,18.12,25.28,25.42,25.05,25.22,15870300
2010-04-01,18.22,25.41,25.42,25.23,25.33,12903500
2010-04-05,18.21,25.4,25.55,25.29,25.42,11130400
2010-04-06,18.17,25.35,25.49,25.23,25.37,15102300
2010-04-07,18.06,25.19,25.4,25.13,25.29,20577100
2010-04-08,17.98,25.08,25.28,25.05,25.23,15111200
2010-04-09,18.14,25.3,25.36,25.08,25.12,11637500
2010-04-12,18.12,25.27,25.43,25.14,25.43,13458100
2010-04-13,18.3,25.08,25.18,25.03,25.03,14442000
2010-04-14,18.31,25.1,25.17,24.92,25.15,19029100
2010-04-15,18.33,25.12,25.17,24.98,25.1,15013700
2010-04-16,18.29,25.07,25.17,24.96,25.06,16562700
2010-04-19,18.52,25.39,25.49,24.98,25.07,18932400
2010-04-20,18.57,25.46,25.55,25.39,25.44,13302000
2010-04-21,18.13,24.84,25.41,24.7,25.33,26172500
2010-04-22,17.89,24.53,24.76,24.39,24.75,16797800
2010-04-23,17.92,24.57,24.57,24.12,24.48,19164400
2010-04-26,17.63,24.17,24.84,24.02,24.51,19657700
2010-04-27,17.42,23.88,24.26,23.84,24.12,21777100
2010-04-28,17.6,24.12,24.19,23.71,23.96,19404500
2010-04-29,17.77,24.35,24.53,24.15,24.23,19325100
2010-04-30,17.91,24.55,24.71,24.29,24.4,22310700
2010-05-03,17.81,24.41,24.75,24.25,24.69,18336100
2010-05-04,17.57,24.08,24.4,23.86,24.31,21711900
2010-05-05,17.56,24.06,24.5,23.87,24.1,22362800
