Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,34.15,42.07,42.2,41.5,41.52,3650100
2010-01-05,34.36,42.33,42.45,41.98,42.1,2613000
2010-01-06,34.72,42.78,42.9,41.81,42.09,5772100
2010-01-07,34.69,42.74,42.9,42.24,42.5,4022900
2010-01-08,34.55,42.57,43.06,42.19,42.51,5069700
2010-01-11,34.52,42.53,42.81,42.23,42.44,4231900
2010-01-12,34.3,42.26,43.62,42.2,42.21,5557100
2010-01-13,34.69,42.74,42.93,42.2,42.45,4496800
2010-01-14,35.0,43.12,43.29,42.6,42.72,3312500
2010-01-15,34.75,42.81,43.59,42.74,42.96,4734200
2010-01-19,35.51,43.75,43.83,42.5,42.69,5343600
2010-01-20,35.32,43.51,43.89,43.05,43.36,4409900
2010-01-21,34.98,43.09,43.78,42.86,43.44,4578300
2010-01-22,34.24,42.18,43.02,41.89,43.02,4903400
2010-01-25,33.99,41.88,42.54,41.62,42.54,3665700
2010-01-26,33.95,41.83,42.19,41.53,41.76,3459000
2010-01-27,34.03,41.93,42.5,41.53,41.91,4562300
2010-01-28,33.52,41.29,42.15,41.1,42.15,4773300
2010-01-29,33.27,40.99,41.97,40.94,41.64,4618100
2010-02-01,33.43,41.19,41.6,40.91,41.16,3540100
2010-02-02,33.78,41.62,41.84,40.8,41.39,3817900
2010-02-03,33.77,41.6,41.69,41.39,41.55,2555100
2010-02-04,32.96,40.61,41.38,40.56,41.38,4069400
2010-02-05,32.91,40.54,40.75,39.7,40.21,5850400
2010-02-08,32.61,40.17,40.57,39.9,40.43,4514200
2010-02-09,32.66,40.24,40.78,40.18,40.47,4525700
2010-02-10,32.48,40.02,40.55,39.63,40.33,4885800
2010-02-11,32.69,40.27,40.6,39.61,40.02,4753300
2010-02-12,32.87,40.49,40.54,39.8,40.34,3347700
2010-02-16,33.15,40.84,40.84,40.22,40.7,2420000
2010-02-17,33.11,40.79,41.12,40.66,41.12,2480300
2010-02-18,33.53,41.31,41.34,40.73,40.84,2309400
2010-02-19,33.17,40.87,41.41,40.26,40.26,5039200
2010-02-22,33.04,40.7,41.09,40.55,40.99,2421400
2010-02-23,32.68,40.26,40.86,40.24,40.59,2600900
2010-02-24,32.7,40.28,40.63,40.24,40.42,3261600
2010-02-25,32.27,39.75,40.17,39.55,40.01,5548700
2010-02-26,32.44,39.97,40.25,39.72,39.75,4534000
2010-03-01,32.54,40.09,40.45,39.88,39.88,4157800
2010-03-02,32.96,40.6,40.92,40.25,40.32,3726700
2010-03-03,32.99,40.64,40.91,40.52,40.76,3194000
2010-03-04,33.21,40.91,41.0,40.44,40.56,3642900
2010-03-05,33.43,41.18,41.47,40.83,41.09,2781800
2010-03-08,33.65,41.46,41.61,41.06,41.06,4536100
2010-03-09,34.14,42.06,42.31,41.2,41.2,4826300
2010-03-10,34.14,42.06,42.15,41.67,41.96,3192100
2010-03-11,34.09,42.0,42.07,41.67,41.78,3282900
2010-03-12,34.19,42.12,42.39,41.78,42.29,2755900
2010-03-15,34.5,42.5,42.57,42.03,42.24,2619800
2010-03-16,34.09,42.0,42.6,41.57,42.58,4625500
2010-03-17,34.29,42.24,42.99,41.89,42.08,5203200
2010-03-18,34.32,42.28,42.77,41.94,42.35,2731700
2010-03-19,34.14,42.06,42.33,41.4,42.06,4329100
2010-03-22,34.44,42.43,42.52,41.79,41.87,2346200
2010-03-23,34.42,42.4,42.71,42.17,42.58,3822900
2010-03-24,33.92,41.79,42.4,41.67,42.29,3096400
2010-03-25,33.7,41.52,42.48,41.5,42.1,4643600
2010-03-26,34.42,42.4,42.5,41.28,41.31,6528800
2010-03-29,34.33,42.3,42.93,42.09,42.66,3810200
2010-03-30,34.26,42.21,42.33,41.9,42.11,3778000
2010-03-31,34.05,41.95,42.21,41.72,41.98,3026200
2010-04-01,33.96,41.84,42.65,41.65,42.17,3622700
2010-04-05,34.06,41.96,42.17,41.61,41.82,2561300
2010-04-06,33.7,41.52,42.31,41.45,42.02,5802000
2010-04-07,33.73,41.56,41.88,41.37,41.51,5314800
2010-04-08,34.01,41.9,42.04,41.23,41.41,6134100
