Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,63.97,65.89,66.0,64.96,65.0,794300
2010-01-05,64.09,66.02,66.2,65.59,65.81,369300
2010-01-06,64.41,66.35,66.99,65.68,66.0,922400
2010-01-07,65.01,66.96,67.1,65.34,66.31,948900
2010-01-08,65.71,67.68,68.47,66.74,68.22,1106500
2010-01-11,65.77,67.75,67.93,67.34,67.85,587400
2010-01-12,64.7,66.64,67.52,66.03,67.17,746200
2010-01-13,64.68,66.62,67.15,65.58,66.71,720600
2010-01-14,64.74,66.69,66.82,66.09,66.47,362500
2010-01-15,63.72,65.64,66.81,65.33,66.69,711800
2010-01-19,65.29,67.25,67.35,65.46,65.46,1032700
2010-01-20,65.17,67.13,67.44,66.28,66.51,621200
2010-01-21,61.97,63.83,66.74,62.5,65.89,2469900
2010-01-22,59.53,61.32,63.79,61.1,63.61,1409300
2010-01-25,58.49,60.25,62.02,60.25,61.71,858000
2010-01-26,58.66,60.42,61.06,59.47,60.1,859700
2010-01-27,58.79,60.56,60.71,59.18,60.01,1486400
2010-01-28,58.2,59.95,60.72,59.29,60.72,731800
2010-01-29,57.73,59.46,60.94,59.43,60.33,931700
2010-02-01,59.24,61.02,61.05,59.48,59.82,626400
2010-02-02,59.67,61.46,62.15,60.63,61.2,1188600
2010-02-03,53.1,54.7,58.96,54.37,58.21,6909500
2010-02-04,51.5,53.05,55.51,52.89,54.34,2463600
2010-02-05,53.69,55.3,55.34,52.7,53.42,2418100
2010-02-08,54.2,55.83,56.96,55.29,55.5,2274400
2010-02-09,53.39,54.99,56.63,54.8,56.27,1440900
2010-02-10,52.6,54.18,55.37,53.48,54.99,1250300
2010-02-11,53.02,54.61,54.89,53.44,54.18,932900
2010-02-12,52.29,53.86,54.18,53.38,54.11,1406900
2010-02-16,52.6,54.18,54.25,53.86,54.25,1184700
2010-02-17,52.41,53.99,54.45,53.18,54.3,2083500
2010-02-18,53.72,55.33,55.67,53.91,54.37,1756600
2010-02-19,55.22,56.88,57.3,56.1,56.1,1599600
2010-02-22,55.48,57.15,57.69,56.15,56.75,1074500
2010-02-23,54.35,55.98,56.82,55.52,56.79,823000
2010-02-24,54.74,56.39,56.54,55.63,55.97,680400
2010-02-25,54.44,56.08,56.21,54.91,55.68,789000
2010-02-26,53.82,55.44,56.33,55.14,56.08,1202800
2010-03-01,54.56,56.2,56.44,55.52,55.68,824300
2010-03-02,55.43,57.1,57.11,56.49,56.67,1293100
2010-03-03,56.78,58.49,58.75,56.67,57.01,2364700
2010-03-04,57.42,59.15,60.11,58.25,58.25,2225200
2010-03-05,58.6,60.36,60.7,59.24,59.34,1093900
2010-03-08,58.44,60.2,60.57,59.39,60.16,793100
2010-03-09,59.1,60.88,60.95,59.37,59.8,1123500
