Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,11.03,13.67,13.7,13.38,13.38,4597600
2010-01-05,10.92,13.53,13.84,13.5,13.67,5093200
2010-01-06,10.8,13.39,13.74,13.38,13.45,7507300
2010-01-07,10.81,13.4,13.58,13.15,13.37,16843500
2010-01-08,11.12,13.78,13.82,13.35,13.39,5647500
2010-01-11,11.19,13.87,14.01,13.76,13.77,8616600
2010-01-12,11.06,13.71,13.87,13.67,13.8,5703200
2010-01-13,11.36,14.08,14.14,13.71,13.74,5488500
2010-01-14,11.37,14.09,14.24,14.0,14.02,4320900
2010-01-15,11.33,14.04,14.22,13.8,14.02,5588400
2010-01-19,11.4,14.13,14.22,13.87,14.03,4699300
2010-01-20,11.06,13.71,14.0,13.56,14.0,6220700
2010-01-21,10.79,13.37,13.9,13.28,13.73,6068000
2010-01-22,10.51,13.02,13.47,13.0,13.39,6531300
2010-01-25,10.82,13.41,13.48,13.09,13.19,6202100
2010-01-26,10.55,13.07,13.31,13.03,13.31,4829400
2010-01-27,10.39,12.88,13.08,12.5,13.07,11971700
2010-01-28,10.23,12.68,12.99,12.47,12.89,8794600
2010-01-29,10.19,12.63,12.83,12.54,12.79,13698800
2010-02-01,10.4,12.89,12.91,12.48,12.66,5797700
2010-02-02,10.59,13.12,13.15,12.76,12.88,4175300
2010-02-03,10.41,12.9,13.18,12.85,12.99,3366700
2010-02-04,9.55,11.84,12.83,11.82,12.77,16486600
2010-02-05,9.46,11.73,11.95,11.46,11.82,9749800
2010-02-08,9.48,11.75,11.99,11.66,11.8,5248400
2010-02-09,9.79,12.13,12.33,11.9,11.94,9419700
2010-02-10,9.63,11.94,12.15,11.8,12.15,8151700
2010-02-11,9.64,11.95,11.98,11.74,11.9,8128500
2010-02-12,9.5,11.77,11.8,11.62,11.79,10828700
2010-02-16,9.56,11.85,11.94,11.69,11.91,18712000
2010-02-17,9.71,12.03,12.04,11.78,11.93,11136400
2010-02-18,9.71,12.03,12.12,11.94,11.98,7280800
2010-02-19,9.83,12.18,12.18,11.85,11.95,6705500
2010-02-22,9.68,12.0,12.29,11.94,12.29,4871600
2010-02-23,9.5,11.77,12.03,11.75,11.96,5440300
2010-02-24,9.52,11.8,11.86,11.6,11.82,6354300
2010-02-25,9.44,11.7,11.76,11.51,11.62,6364800
2010-02-26,9.43,11.69,11.95,11.55,11.77,7000100
2010-03-01,9.01,11.17,11.74,11.08,11.74,16674600
2010-03-02,9.07,11.24,11.64,11.18,11.18,13684800
2010-03-03,9.29,11.52,11.63,11.28,11.41,8599500
2010-03-04,9.13,11.32,11.55,11.25,11.46,6509100
2010-03-05,9.34,11.58,11.65,11.36,11.4,6780000
2010-03-08,9.27,11.49,11.7,11.46,11.59,8339500
2010-03-09,9.2,11.4,11.48,11.33,11.41,7163700
2010-03-10,9.09,11.26,11.44,11.16,11.44,12657900
2010-03-11,9.36,11.6,11.64,11.24,11.24,9167800
2010-03-12,9.41,11.66,11.71,11.54,11.69,5814100
2010-03-15,9.34,11.57,11.66,11.43,11.66,8602400
2010-03-16,9.59,11.88,11.88,11.61,11.8,5306200
2010-03-17,9.49,11.76,12.0,11.71,11.94,8994000
2010-03-18,9.33,11.56,11.83,11.51,11.75,5940400
2010-03-19,9.25,11.46,11.81,11.4,11.46,9708900
2010-03-22,9.09,11.27,11.42,11.18,11.41,13088000
2010-03-23,9.06,11.23,11.36,11.11,11.25,8879000
2010-03-24,8.89,11.02,11.21,11.01,11.17,11099100
