Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,15.37,23.78,23.85,23.25,23.25,4724000
2010-01-05,15.82,24.48,24.54,23.53,23.75,7930600
2010-01-06,15.96,24.69,24.92,24.36,24.92,5851600
2010-01-07,16.13,24.95,25.0,24.5,24.7,5535800
2010-01-08,15.97,24.7,24.83,24.38,24.83,4393400
2010-01-11,16.39,25.35,25.39,24.85,24.93,5699200
2010-01-12,16.3,25.23,25.86,25.14,25.69,7697600
2010-01-13,16.48,25.5,25.56,25.22,25.31,5104200
2010-01-14,16.7,25.83,25.9,25.34,25.58,4533800
2010-01-15,16.52,25.56,25.86,25.33,25.77,5949400
2010-01-19,16.84,26.05,26.08,25.47,25.62,6527600
2010-01-20,16.53,25.58,25.89,25.38,25.89,5305600
2010-01-21,16.31,25.24,25.77,25.05,25.75,8123800
2010-01-22,15.87,24.55,25.31,24.5,25.15,8376000
2010-01-25,16.21,25.09,25.37,25.0,25.0,9892000
2010-01-26,16.07,24.86,25.5,24.82,24.99,9834600
2010-01-27,16.1,24.91,25.08,24.53,24.87,8353400
2010-01-28,15.89,24.59,25.24,24.41,25.17,8419000
2010-01-29,15.65,24.22,24.92,24.1,24.78,8465200
2010-02-01,15.89,24.59,24.74,24.3,24.3,6870200
2010-02-02,16.06,24.85,24.92,24.35,24.67,10021800
2010-02-03,16.46,25.47,25.95,25.25,25.25,11918400
2010-02-04,15.61,24.15,25.35,24.11,25.23,10892200
2010-02-05,15.4,23.83,24.41,22.98,24.2,17984600
2010-02-08,14.85,22.98,23.89,22.93,23.85,13129600
2010-02-09,15.21,23.53,23.83,22.89,23.35,11155000
2010-02-10,15.22,23.56,23.86,23.16,23.57,6684200
2010-02-11,15.49,23.68,23.82,23.06,23.43,6632200
2010-02-12,15.42,23.57,23.6,22.93,23.5,10385600
2010-02-16,15.78,24.12,24.19,23.58,23.76,6279800
2010-02-17,15.94,24.37,24.57,24.17,24.36,5900600
2010-02-18,15.97,24.42,24.53,24.02,24.12,4833600
2010-02-19,16.04,24.52,24.65,24.06,24.34,7204200
2010-02-22,16.06,24.56,24.69,24.4,24.64,5542000
2010-02-23,15.74,24.07,24.68,23.9,24.59,5783400
2010-02-24,16.05,24.53,24.62,24.12,24.12,4585400
2010-02-25,16.09,24.59,24.63,23.98,24.19,5502800
2010-02-26,16.17,24.73,24.77,24.42,24.58,4703400
2010-03-01,16.36,25.01,25.02,24.76,24.83,5342200
2010-03-02,16.33,24.97,25.17,24.86,25.09,4766800
2010-03-03,16.41,25.08,25.28,25.0,25.01,5124800
2010-03-04,16.54,25.28,25.36,25.12,25.16,5098200
2010-03-05,16.84,25.75,25.81,25.2,25.5,5177400
2010-03-08,16.91,25.85,26.0,25.75,25.81,4408000
2010-03-09,16.76,25.62,25.84,25.46,25.76,4445600
2010-03-10,17.16,26.24,26.25,25.55,25.73,7183400
2010-03-11,17.21,26.32,26.32,25.95,26.14,5077400
2010-03-12,17.23,26.34,26.5,26.12,26.44,3764600
2010-03-15,17.26,26.39,26.49,26.12,26.25,5003200
2010-03-16,17.56,26.85,26.88,26.38,26.49,4767200
2010-03-17,17.87,27.32,27.5,26.92,27.04,5413200
2010-03-18,17.93,27.41,27.42,27.2,27.36,4801800
2010-03-19,17.69,27.05,27.6,27.03,27.05,7447400
2010-03-22,17.61,26.93,26.93,26.53,26.75,4293000
2010-03-23,17.5,26.75,26.76,26.31,26.59,7604600
2010-03-24,17.54,26.83,26.94,26.59,26.7,4708400
2010-03-25,17.4,26.6,27.15,26.56,27.0,5430800
2010-03-26,17.49,26.74,27.03,26.6,26.67,4811800
2010-03-29,17.54,26.83,27.0,26.74,26.85,4707200
2010-03-30,17.59,26.9,26.98,26.68,26.86,5451800
2010-03-31,17.75,27.15,27.16,26.73,26.73,6307000
2010-04-01,17.9,27.37,27.58,27.22,27.36,4532200
2010-04-05,18.16,27.76,27.76,27.45,27.54,4161200
2010-04-06,18.3,27.98,28.06,27.56,27.61,4903200
2010-04-07,18.08,27.64,27.9,27.42,27.9,5455600
2010-04-08,18.12,27.7,27.83,27.43,27.5,5574600
2010-04-09,18.23,27.88,27.88,27.52,27.77,3727000
2010-04-12,18.17,27.78,27.98,27.72,27.96,4526200
2010-04-13,18.14,27.74,27.82,27.42,27.73,4858600
2010-04-14,18.5,28.28,28.28,27.8,27.95,4614600
2010-04-15,18.14,27.74,28.14,27.61,28.01,6474200
2010-04-16,17.8,27.21,27.7,26.87,27.59,9725200
2010-04-19,17.85,27.3,27.33,26.83,26.93,5282800
2010-04-20,18.09,27.66,27.7,27.36,27.44,4359400
2010-04-21,17.9,27.38,27.88,27.07,27.75,4785800
2010-04-22,17.86,27.3,27.33,26.75,27.18,4898200
