Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,38.16,40.29,40.46,39.7,39.7,856400
2010-01-05,37.78,39.89,40.22,39.55,40.22,583400
2010-01-06,37.9,40.02,40.02,39.78,39.94,803300
2010-01-07,37.6,39.7,40.15,39.52,39.98,716500
2010-01-08,37.33,39.41,39.54,39.04,39.45,702200
2010-01-11,37.67,39.77,40.0,39.15,39.49,517300
2010-01-12,37.62,39.72,39.89,39.43,39.66,658300
2010-01-13,38.73,40.89,40.99,39.87,39.9,1396500
2010-01-14,38.93,41.1,41.28,40.64,40.93,817300
2010-01-15,38.74,40.9,41.23,40.78,41.22,777300
2010-01-19,39.62,41.83,42.5,40.93,40.93,1642200
2010-01-20,39.34,41.54,42.13,41.12,41.65,685200
2010-01-21,38.27,40.41,41.43,40.39,41.43,1330200
2010-01-22,37.42,39.51,40.13,39.45,40.02,1408000
2010-01-25,37.31,39.39,39.78,39.21,39.67,982900
2010-01-26,36.94,39.0,39.25,38.95,39.25,762700
2010-01-27,36.81,38.86,39.0,38.61,38.88,810700
2010-01-28,36.34,38.37,39.06,38.31,39.01,957000
2010-01-29,36.34,38.37,38.87,38.18,38.47,1089500
2010-02-01,36.37,38.4,38.71,38.02,38.47,1346700
2010-02-02,37.42,39.51,39.59,38.22,38.57,1646700
2010-02-03,37.28,39.36,39.55,38.47,39.33,1595900
2010-02-04,36.17,38.19,39.39,38.16,39.13,1103000
2010-02-05,36.17,38.19,38.3,37.42,38.1,1472400
2010-02-08,35.7,37.69,38.19,37.65,38.19,841800
2010-02-09,36.09,38.1,38.38,37.73,37.95,860200
2010-02-10,35.74,37.74,38.07,37.4,37.99,515400
2010-02-11,35.99,38.0,38.1,37.41,37.64,765100
2010-02-12,36.07,38.08,38.11,37.26,37.78,698600
2010-02-16,36.56,38.6,38.65,38.07,38.49,597400
2010-02-17,36.6,38.59,38.86,38.58,38.67,953800
2010-02-18,36.89,38.9,38.99,38.51,38.58,762200
2010-02-19,37.09,39.11,39.27,38.73,38.76,917400
2010-02-22,37.33,39.36,39.37,38.8,39.31,785400
2010-02-23,36.97,38.98,39.79,38.89,39.4,1487400
2010-02-24,37.56,39.61,39.68,39.08,39.12,1452200
2010-02-25,37.65,39.7,39.82,37.61,39.3,2251200
2010-02-26,37.74,39.79,39.92,39.48,39.69,1184500
2010-03-01,38.05,40.12,40.23,39.86,39.91,1505000
2010-03-02,38.01,40.08,40.43,39.88,40.12,1072400
2010-03-03,37.88,39.94,40.17,39.77,40.07,956500
2010-03-04,37.8,39.86,40.04,39.61,39.91,1197700
2010-03-05,38.47,40.56,40.61,39.83,40.02,1029500
2010-03-08,37.93,40.0,40.51,39.95,40.51,1695200
2010-03-09,38.11,40.18,40.51,39.46,39.9,1329100
2010-03-10,38.48,40.58,40.7,40.03,40.06,1176600
2010-03-11,38.86,40.98,41.04,40.38,40.48,1405100
2010-03-12,39.23,41.37,41.44,40.78,41.14,1798600
2010-03-15,38.2,40.28,41.26,39.77,41.26,4294500
2010-03-16,38.55,40.65,40.94,39.54,40.57,2163800
2010-03-17,38.53,40.63,40.82,40.33,40.65,1628100
2010-03-18,38.67,40.78,40.97,40.44,40.66,1318800
2010-03-19,38.33,40.42,41.34,40.23,40.42,1423700
2010-03-22,38.57,40.67,40.77,40.25,40.31,1038400
2010-03-23,39.26,41.4,41.51,40.79,40.88,1139600
2010-03-24,39.3,41.44,41.5,41.04,41.23,1231400
2010-03-25,39.24,41.38,41.76,41.35,41.72,1286000
2010-03-26,39.18,41.31,41.6,41.11,41.59,1190000
2010-03-29,39.67,41.83,41.92,41.26,41.31,1629200
2010-03-30,39.97,42.15,42.24,41.61,41.84,1173100
2010-03-31,39.61,41.77,42.09,41.68,42.07,960000
2010-04-01,40.21,42.4,42.44,42.0,42.0,1060700
2010-04-05,40.1,42.28,42.45,42.2,42.45,716300
2010-04-06,39.78,41.95,42.13,41.84,42.11,1125400
2010-04-07,39.81,41.98,42.04,41.75,41.9,1201300
2010-04-08,39.96,42.14,42.19,41.67,41.91,1181200
2010-04-09,40.13,42.31,42.55,42.0,42.1,647100
2010-04-12,40.15,42.34,42.42,42.2,42.23,817500
2010-04-13,40.25,42.44,42.47,42.12,42.35,819600
2010-04-14,40.12,42.3,42.5,41.93,42.5,1017200
2010-04-15,40.19,42.38,42.39,41.99,42.19,905900
2010-04-16,40.35,42.55,42.74,42.18,42.74,1297900
2010-04-19,40.43,42.63,42.67,42.32,42.4,1052900
2010-04-20,41.09,43.33,43.43,42.54,42.78,993600
2010-04-21,40.95,43.18,43.38,42.93,43.38,1387200
2010-04-22,40.55,42.76,43.02,42.08,43.02,1392700
2010-04-23,40.92,43.15,43.24,42.36,42.66,1356500
2010-04-26,40.87,43.1,43.56,42.91,43.0,1465900
2010-04-27,39.91,42.08,43.26,42.03,43.0,1321100
2010-04-28,40.52,42.73,43.11,42.54,42.95,1403200
2010-04-29,40.66,42.87,43.35,42.62,42.93,1125200
2010-04-30,40.61,42.82,43.2,42.79,42.97,1005700
2010-05-03,41.19,43.43,43.57,42.78,42.9,1065400
2010-05-04,40.78,43.0,43.56,42.88,42.97,1798000
2010-05-05,41.34,43.59,43.66,42.76,42.78,1369300
2010-05-06,40.18,42.37,43.76,40.75,43.41,1739600
2010-05-07,39.82,41.99,43.47,41.32,42.7,3583600
