Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,25.92,25.92,26.06,25.53,25.63,3015600
2010-01-05,26.69,26.69,26.73,25.77,25.95,5421900
2010-01-06,26.47,26.47,26.86,26.4,26.7,2863900
2010-01-07,26.48,26.48,26.7,26.12,26.65,2919400
2010-01-08,26.48,26.48,26.73,26.26,26.44,2106600
2010-01-11,26.39,26.39,26.72,25.98,26.53,2898800
2010-01-12,26.16,26.16,26.32,25.78,26.13,3250300
2010-01-13,26.04,26.04,26.4,25.63,26.2,3142800
2010-01-14,26.88,26.88,27.0,26.04,26.04,4208000
2010-01-15,26.61,26.61,26.91,26.44,26.91,3455500
2010-01-19,27.22,27.22,27.27,26.43,26.51,6514100
2010-01-20,26.95,26.95,27.28,26.7,27.02,4774800
2010-01-21,26.72,26.72,27.28,26.5,27.15,3524400
2010-01-22,25.82,25.82,26.68,25.74,26.58,4257200
2010-01-25,25.67,25.67,26.15,25.17,26.02,3758900
2010-01-26,25.67,25.67,25.81,25.45,25.56,3573700
2010-01-27,25.83,25.83,26.0,25.45,25.55,2722500
2010-01-28,25.31,25.31,25.94,25.08,25.93,4001200
2010-01-29,24.7,24.7,25.85,24.5,25.59,5119000
2010-02-01,26.18,26.18,26.24,25.6,25.94,4985600
2010-02-02,26.37,26.37,26.5,25.96,26.41,3229600
2010-02-03,26.5,26.5,26.83,26.13,26.54,5038600
2010-02-04,25.51,25.51,26.17,25.35,25.58,7362900
2010-02-05,25.32,25.32,25.57,24.62,25.51,5719400
2010-02-08,25.04,25.04,25.5,24.94,25.32,2539400
2010-02-09,25.27,25.27,25.55,24.91,25.39,3456200
2010-02-10,24.96,24.96,25.31,24.76,25.17,2716300
2010-02-11,25.37,25.37,25.5,24.64,24.95,2675000
2010-02-12,25.33,25.33,25.43,24.83,25.11,2792300
2010-02-16,25.65,25.65,25.74,25.34,25.49,2339800
2010-02-17,25.69,25.69,25.87,25.44,25.72,1990600
2010-02-18,25.73,25.73,25.83,25.5,25.57,1983300
2010-02-19,25.89,25.89,25.99,25.61,25.62,2509000
2010-02-22,25.88,25.88,26.1,25.75,25.94,2395000
2010-02-23,25.63,25.63,25.96,25.48,25.76,2090800
2010-02-24,25.76,25.76,25.97,25.52,25.66,1632100
2010-02-25,25.66,25.66,25.73,25.17,25.41,2278300
2010-02-26,26.3,26.3,26.45,25.52,25.74,4167700
2010-03-01,27.19,27.19,27.27,26.53,26.53,2987000
2010-03-02,27.45,27.45,27.68,27.25,27.5,3098700
2010-03-03,28.12,28.12,28.75,27.75,28.04,7599400
2010-03-04,28.27,28.27,28.43,27.81,28.2,3773200
2010-03-05,29.2,29.2,29.34,28.25,28.45,4285400
2010-03-08,29.45,29.45,29.65,29.26,29.41,4947000
2010-03-09,30.41,30.41,30.45,29.43,29.56,7947100
2010-03-10,31.27,31.27,31.33,30.27,30.51,7390800
2010-03-11,31.41,31.41,31.44,30.88,31.19,4519300
2010-03-12,31.94,31.94,32.23,31.15,31.57,8512500
2010-03-15,31.28,31.28,31.54,30.81,31.37,6041700
2010-03-16,31.65,31.65,31.73,31.13,31.36,4405900
2010-03-17,32.08,32.08,32.46,31.6,31.7,3357900
2010-03-18,31.94,31.94,32.27,31.72,32.21,4063400
2010-03-19,31.39,31.39,32.08,31.32,31.98,4266000
2010-03-22,31.26,31.26,31.26,30.02,30.39,6050600
2010-03-23,31.52,31.52,31.59,31.04,31.38,3828300
2010-03-24,31.56,31.56,31.69,31.23,31.38,4739700
2010-03-25,31.51,31.51,32.16,31.48,31.9,3886000
2010-03-26,31.68,31.68,32.1,31.52,31.77,3098000
2010-03-29,31.68,31.68,32.18,31.63,31.81,2457000
2010-03-30,31.61,31.61,31.94,31.51,31.71,2916900
2010-03-31,31.42,31.42,31.68,31.3,31.43,2239600
2010-04-01,31.41,31.41,31.88,31.13,31.63,2027100
2010-04-05,32.45,32.45,32.59,31.44,31.44,3079200
2010-04-06,32.83,32.83,33.0,32.26,32.44,3260000
2010-04-07,32.66,32.66,32.83,32.38,32.66,3830100
2010-04-08,32.6,32.6,32.64,32.22,32.56,2569900
2010-04-09,33.21,33.21,33.31,32.55,32.6,2875800
2010-04-12,33.51,33.51,33.79,33.24,33.37,2605100
2010-04-13,33.46,33.46,33.59,33.14,33.53,1938300
2010-04-14,34.16,34.16,34.25,33.64,33.7,2367700
2010-04-15,34.12,34.12,34.76,34.04,34.16,3584600
2010-04-16,33.22,33.22,34.09,32.98,33.95,5525000
2010-04-19,32.47,32.47,33.36,32.03,33.0,5197000
2010-04-20,33.15,33.15,33.23,32.7,32.81,2487400
