Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,33.15,38.09,38.24,36.9,36.91,712900
2010-01-05,33.09,38.02,38.7,37.6,38.7,398900
2010-01-06,33.15,38.09,38.48,37.89,37.96,717200
2010-01-07,32.92,37.82,38.17,37.8,38.03,603700
2010-01-08,33.41,38.39,38.57,37.66,37.66,759000
2010-01-11,33.27,38.22,38.79,37.86,38.64,763000
2010-01-12,32.8,37.69,38.04,37.4,37.89,323400
2010-01-13,33.13,38.07,38.11,37.49,37.9,330500
2010-01-14,33.0,37.92,38.29,37.71,38.01,221100
2010-01-15,32.98,37.89,38.89,37.64,38.8,450400
2010-01-19,33.4,38.37,38.37,37.89,37.97,474100
2010-01-20,33.04,37.96,38.08,37.59,37.91,360900
2010-01-21,32.31,37.12,38.29,37.12,37.89,624700
2010-01-22,31.41,36.09,37.29,35.97,37.0,607800
2010-01-25,31.77,36.5,37.1,36.4,36.63,831500
2010-01-26,32.53,37.37,38.78,37.08,37.11,1156200
2010-01-27,32.08,36.86,37.62,36.55,37.26,669000
2010-01-28,31.72,36.44,37.04,36.01,36.95,545300
2010-01-29,31.09,35.72,36.87,35.72,36.56,852200
2010-02-01,31.55,36.25,36.35,35.8,35.95,1012700
2010-02-02,32.12,36.9,37.12,35.99,36.38,951800
2010-02-03,31.88,36.63,37.3,36.55,36.78,704100
2010-02-04,30.8,35.39,36.48,35.39,36.22,486000
2010-02-05,30.6,35.16,35.68,34.49,35.48,759400
2010-02-08,30.34,34.86,35.3,34.56,35.2,682600
2010-02-09,30.74,35.32,35.65,34.93,35.58,440500
2010-02-10,30.79,35.38,35.53,34.59,35.11,417500
2010-02-11,31.22,35.87,35.96,34.96,35.3,407100
2010-02-12,31.86,36.6,36.65,35.32,35.41,788700
2010-02-16,32.82,37.71,37.71,36.77,36.92,633600
2010-02-17,32.87,37.77,38.04,37.52,37.88,946500
2010-02-18,32.96,37.87,38.11,37.76,37.77,708300
2010-02-19,33.19,38.13,38.29,37.7,37.84,462500
2010-02-22,33.2,38.14,38.34,37.82,38.34,285400
2010-02-23,32.18,36.97,38.2,36.74,37.92,710900
2010-02-24,32.1,36.88,37.36,36.66,37.04,734400
2010-02-25,32.13,36.91,37.08,36.11,36.43,648700
2010-02-26,32.63,37.49,37.53,36.67,37.05,632600
2010-03-01,34.33,39.44,39.46,37.56,37.56,1212000
2010-03-02,35.1,40.33,40.86,39.85,39.86,1359800
2010-03-03,35.12,40.35,40.63,40.09,40.29,597800
2010-03-04,35.07,40.29,40.74,40.08,40.32,338200
2010-03-05,35.83,41.17,41.44,40.34,40.52,565400
2010-03-08,35.9,41.25,41.77,41.08,41.08,466500
2010-03-09,35.68,41.0,41.29,40.6,41.0,360000
2010-03-10,35.97,41.33,41.49,40.7,40.91,358300
2010-03-11,36.16,41.4,41.4,40.46,40.91,359300
2010-03-12,36.63,41.94,42.09,41.66,41.66,863300
2010-03-15,36.85,42.2,42.42,41.75,41.85,760200
2010-03-16,37.2,42.6,42.72,42.3,42.41,924800
2010-03-17,37.4,42.83,43.0,42.67,42.78,485600
2010-03-18,37.42,42.85,43.0,42.46,42.7,331500
2010-03-19,36.89,42.24,43.11,42.17,42.24,646200
2010-03-22,37.6,43.05,43.2,41.8,41.97,431000
2010-03-23,37.73,43.2,43.38,42.66,43.17,420400
2010-03-24,37.12,42.51,43.12,42.4,43.04,428700
2010-03-25,36.53,41.83,43.14,41.8,42.93,455100
2010-03-26,36.22,41.47,42.24,41.01,41.87,869000
2010-03-29,36.81,42.15,42.6,41.71,41.71,745500
2010-03-30,37.14,42.53,42.65,41.94,42.29,427900
2010-03-31,37.23,42.63,43.8,42.38,42.4,993700
2010-04-01,37.44,42.87,43.44,42.46,43.16,571400
2010-04-05,37.69,43.16,43.24,42.78,42.93,467300
2010-04-06,38.09,43.62,43.67,42.78,43.01,638000
2010-04-07,38.09,43.61,44.05,43.37,43.65,540300
2010-04-08,38.15,43.68,43.7,42.9,43.37,311600
2010-04-09,38.7,44.31,44.31,43.44,43.76,333100
2010-04-12,38.0,43.51,44.5,43.31,44.37,454300
2010-04-13,37.68,43.14,43.38,42.93,43.37,614200
2010-04-14,38.88,44.52,44.61,43.34,43.44,674800
2010-04-15,38.87,44.51,44.75,44.18,44.39,487600
2010-04-16,38.34,43.9,44.86,43.82,44.39,657600
2010-04-19,38.19,43.73,43.86,42.88,43.63,451100
2010-04-20,38.6,44.2,44.28,43.75,44.14,368300
2010-04-21,38.27,43.82,44.4,43.74,44.35,778700
2010-04-22,38.36,43.92,44.14,43.43,43.49,1313800
2010-04-23,39.0,44.66,44.77,43.39,44.11,1208000
2010-04-26,39.12,44.79,45.32,44.43,44.55,721200
2010-04-27,38.64,44.25,45.54,44.0,44.69,1851700
2010-04-28,39.51,45.24,45.69,44.11,44.72,1314600
2010-04-29,40.6,46.49,46.75,45.6,45.78,867100
2010-04-30,39.88,45.66,46.97,45.57,46.57,891400
2010-05-03,40.17,46.0,46.34,45.57,46.0,1112800
2010-05-04,38.8,44.43,45.45,43.99,45.33,1219500
2010-05-05,37.67,43.13,44.06,42.97,43.98,1010400
2010-05-06,35.62,40.79,43.56,38.48,42.84,2202500
2010-05-07,34.26,39.23,40.43,38.31,40.43,2738400
2010-05-10,37.25,42.65,43.63,41.12,41.12,1386500
2010-05-11,36.91,42.26,43.02,41.61,42.08,1140300
2010-05-12,37.96,43.47,43.52,42.47,42.47,797600
2010-05-13,37.66,43.12,43.67,42.92,43.13,517400
