Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,18.5,18.5,18.5,18.05,18.05,374200
2010-01-05,18.01,18.01,18.5,17.7,18.5,431900
2010-01-06,17.48,17.48,17.97,17.37,17.97,667000
2010-01-07,17.43,17.43,17.49,16.95,17.49,450000
2010-01-08,17.66,17.66,17.8,17.05,17.41,675200
2010-01-11,17.54,17.54,17.76,17.26,17.26,440800
2010-01-12,17.23,17.23,17.61,17.11,17.38,317300
2010-01-13,17.58,17.58,17.7,17.12,17.23,296800
2010-01-14,17.13,17.13,17.51,17.05,17.48,379000
2010-01-15,16.93,16.93,17.22,16.47,17.22,706500
2010-01-19,17.34,17.34,17.35,16.95,16.95,492200
2010-01-20,17.68,17.68,17.79,17.14,17.18,646600
2010-01-21,16.85,16.85,17.75,16.83,17.7,931800
2010-01-22,16.53,16.53,16.93,16.47,16.76,667000
2010-01-25,16.7,16.7,16.89,16.25,16.65,549700
2010-01-26,16.46,16.46,17.04,16.4,16.6,494400
2010-01-27,16.69,16.69,16.78,16.11,16.41,575500
2010-01-28,18.03,18.03,19.25,17.99,18.74,2492500
2010-01-29,18.75,18.75,19.09,18.14,18.18,1092700
2010-02-01,18.58,18.58,18.75,18.5,18.73,594300
2010-02-02,18.12,18.12,18.52,17.97,18.0,1289100
2010-02-03,18.11,18.11,18.48,17.83,18.1,553300
2010-02-04,17.49,17.49,17.94,17.33,17.94,897800
2010-02-05,17.68,17.68,17.86,17.27,17.49,540600
2010-02-08,17.28,17.28,17.81,17.25,17.62,310500
2010-02-09,17.2,17.2,17.6,17.09,17.5,423500
2010-02-10,17.26,17.26,17.3,16.93,17.07,446000
2010-02-11,17.45,17.45,17.74,17.18,17.25,405300
2010-02-12,17.53,17.53,17.54,17.22,17.3,371700
2010-02-16,17.95,17.95,17.95,17.4,17.7,268400
2010-02-17,17.92,17.92,18.0,17.83,18.0,190100
2010-02-18,17.99,17.99,18.0,17.81,17.85,187200
2010-02-19,17.94,17.94,18.02,17.9,18.0,317100
2010-02-22,17.92,17.92,18.0,17.67,17.89,477200
2010-02-23,17.92,17.92,18.0,17.17,17.2,677800
2010-02-24,18.0,18.0,18.25,17.87,17.88,557100
2010-02-25,18.12,18.12,18.16,17.4,17.55,750500
2010-02-26,18.1,18.1,18.2,17.84,17.84,800400
2010-03-01,18.78,18.78,18.78,18.08,18.16,797400
2010-03-02,18.96,18.96,19.01,18.58,18.77,815200
2010-03-03,18.75,18.75,19.08,18.6,19.08,520200
2010-03-04,18.83,18.83,18.87,18.6,18.74,243600
2010-03-05,19.17,19.17,19.34,18.8,18.84,628000
2010-03-08,19.27,19.27,19.43,19.08,19.17,336400
2010-03-09,19.44,19.44,19.6,19.08,19.2,514500
2010-03-10,19.47,19.47,19.71,19.35,19.43,275500
2010-03-11,19.43,19.43,19.51,19.25,19.39,171100
2010-03-12,19.18,19.18,19.53,19.09,19.5,377700
2010-03-15,18.54,18.54,19.06,18.12,19.05,699300
2010-03-16,18.9,18.9,19.13,18.37,18.62,497900
2010-03-17,19.32,19.32,19.58,18.81,18.99,625500
2010-03-18,19.2,19.2,19.44,19.07,19.34,281000
2010-03-19,19.16,19.16,19.34,19.04,19.34,556600
2010-03-22,19.61,19.61,19.91,19.03,19.03,558100
2010-03-23,19.89,19.89,19.9,19.54,19.65,400500
2010-03-24,19.66,19.66,19.98,19.48,19.8,315200
2010-03-25,19.35,19.35,20.0,19.35,19.72,270500
2010-03-26,19.46,19.46,19.88,19.3,19.45,877300
2010-03-29,19.52,19.52,19.65,19.31,19.56,436000
2010-03-30,19.51,19.51,19.94,19.41,19.55,339900
2010-03-31,19.34,19.34,19.85,19.3,19.5,245700
2010-04-01,19.58,19.58,19.79,19.34,19.44,272800
2010-04-05,20.44,20.44,20.56,19.46,19.58,405900
2010-04-06,18.44,18.44,20.03,18.18,19.9,4069500
2010-04-07,18.17,18.17,18.89,17.96,18.37,1414600
2010-04-08,17.49,17.49,18.15,17.48,18.1,1831800
2010-04-09,17.57,17.57,18.13,17.33,17.54,1000700
2010-04-12,17.7,17.7,17.89,17.52,17.62,990200
2010-04-13,18.09,18.09,18.18,17.69,17.71,618200
2010-04-14,18.34,18.34,18.38,17.93,18.22,793400
2010-04-15,18.67,18.67,18.77,18.29,18.49,583200
2010-04-16,18.7,18.7,18.9,18.04,18.65,850200
2010-04-19,18.63,18.63,18.66,18.07,18.59,544600
2010-04-20,18.82,18.82,18.82,18.47,18.66,360600
2010-04-21,18.8,18.8,18.89,18.51,18.78,702800
2010-04-22,17.62,17.62,19.42,17.18,19.42,5676800
2010-04-23,16.88,16.88,17.79,16.42,17.74,4019800
2010-04-26,17.14,17.14,17.25,16.5,16.92,2787400
2010-04-27,17.0,17.0,17.13,16.73,17.04,3349400
2010-04-28,16.56,16.56,17.16,16.51,17.12,1182800
2010-04-29,17.93,17.93,18.2,16.58,16.7,3052300
2010-04-30,17.0,17.0,17.93,16.89,17.89,1533300
2010-05-03,17.4,17.4,17.59,16.93,17.0,1232700
2010-05-04,17.53,17.53,17.53,16.93,17.27,1469600
2010-05-05,17.49,17.49,17.59,17.25,17.45,1395000
2010-05-06,17.26,17.26,17.58,16.57,16.99,1772900
