Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,7.81,8.72,8.82,8.6,8.7,1802400
2010-01-05,8.24,9.19,9.23,8.69,8.69,3052800
2010-01-06,8.17,9.11,9.28,9.05,9.06,2994000
2010-01-07,8.12,9.06,9.42,9.04,9.14,2887200
2010-01-08,7.96,8.89,9.22,8.81,9.06,2457600
2010-01-11,7.91,8.83,8.99,8.71,8.96,2324000
2010-01-12,8.09,9.03,9.05,8.75,8.77,1866800
2010-01-13,8.37,9.34,9.4,8.99,9.08,1442000
2010-01-14,8.38,9.35,9.44,9.3,9.35,1028400
2010-01-15,8.08,9.02,9.19,8.91,9.18,2452800
2010-01-19,8.33,9.29,9.3,9.0,9.05,1736400
2010-01-20,8.29,9.25,9.3,9.02,9.19,2017200
2010-01-21,8.34,9.31,9.49,9.21,9.3,2466000
2010-01-22,8.08,9.01,9.39,8.98,9.31,1602400
2010-01-25,8.18,9.13,9.2,9.04,9.06,1302800
2010-01-26,7.95,8.87,9.15,8.86,9.07,1676000
2010-01-27,8.18,9.12,9.17,8.73,8.84,2150800
2010-01-28,7.3,8.15,9.0,8.15,8.89,7360000
2010-01-29,7.02,7.84,8.25,7.81,8.2,3382800
2010-02-01,7.16,7.99,8.0,7.81,7.84,1856800
2010-02-02,7.45,8.31,8.31,8.01,8.02,2856000
2010-02-03,7.45,8.31,8.39,8.17,8.29,3080400
2010-02-04,7.17,8.0,8.14,7.91,8.03,5684800
2010-02-05,7.2,8.04,8.09,7.88,7.97,3012000
2010-02-08,7.26,8.1,8.23,7.97,8.02,2164800
2010-02-09,7.48,8.34,8.43,8.19,8.23,2364400
2010-02-10,7.12,7.94,8.31,7.9,8.29,2656800
2010-02-11,7.24,8.08,8.16,7.9,7.95,3575200
2010-02-12,7.34,8.19,8.2,7.86,8.05,2327200
2010-02-16,7.62,8.5,8.56,8.25,8.29,1916000
2010-02-17,7.67,8.56,8.62,8.46,8.56,1792000
2010-02-18,7.97,8.89,8.9,8.56,8.58,2375600
2010-02-19,8.17,9.12,9.21,8.84,8.88,3352400
2010-02-22,7.96,8.88,9.3,8.87,9.13,2300800
2010-02-23,7.82,8.73,8.98,8.68,8.86,1634400
2010-02-24,7.83,8.74,8.82,8.68,8.73,1399600
2010-02-25,7.76,8.65,8.69,8.51,8.52,1677600
2010-02-26,7.84,8.75,8.78,8.6,8.68,1939600
2010-03-01,8.33,9.29,9.38,8.8,8.81,4232000
2010-03-02,8.12,9.06,9.43,9.05,9.36,2903200
2010-03-03,8.2,9.15,9.23,9.0,9.11,1382400
2010-03-04,8.12,9.06,9.2,8.93,9.14,1340400
2010-03-05,8.32,9.29,9.29,9.06,9.14,2717600
2010-03-08,8.09,9.02,9.39,8.99,9.25,2030800
2010-03-09,8.5,9.49,9.49,9.02,9.02,4521600
2010-03-10,8.98,10.02,10.1,9.48,9.48,5502000
2010-03-11,9.05,10.1,10.12,9.94,9.98,3516400
2010-03-12,9.09,10.14,10.16,9.95,10.06,2555600
2010-03-15,9.14,10.2,10.29,10.06,10.07,2671200
2010-03-16,9.03,10.08,10.23,10.03,10.19,2453600
2010-03-17,9.19,10.26,10.31,9.99,10.11,2256800
2010-03-18,9.05,10.1,10.35,10.1,10.28,1341200
2010-03-19,9.0,10.04,10.13,9.81,10.04,3152400
2010-03-22,9.25,10.32,10.36,9.88,9.95,1887600
2010-03-23,9.38,10.47,10.5,10.23,10.37,1567600
2010-03-24,9.2,10.27,10.49,10.19,10.38,1607600
2010-03-25,9.21,10.28,10.6,10.27,10.33,1910800
2010-03-26,9.26,10.33,10.65,10.28,10.34,1465200
2010-03-29,9.22,10.28,10.48,10.26,10.34,1010400
2010-03-30,9.21,10.28,10.4,10.19,10.3,1028400
2010-03-31,9.24,10.31,10.5,10.21,10.22,2074400
2010-04-01,9.16,10.22,10.47,10.18,10.4,1848400
2010-04-05,9.21,10.27,10.28,10.1,10.24,1346400
2010-04-06,9.18,10.24,10.39,10.19,10.19,1208800
2010-04-07,8.97,10.01,10.24,9.97,10.24,1949600
2010-04-08,9.36,10.44,10.69,10.0,10.0,3802400
2010-04-09,9.45,10.54,10.55,10.29,10.53,1144000
2010-04-12,9.73,10.85,10.93,10.59,10.6,2223200
2010-04-13,9.77,10.9,10.99,10.72,10.81,2920400
2010-04-14,9.9,11.04,11.1,10.91,10.96,2156000
2010-04-15,10.09,11.27,11.36,11.04,11.08,2248000
2010-04-16,9.65,10.77,11.32,10.59,11.27,3186800
2010-04-19,9.38,10.47,10.78,10.36,10.43,1974800
2010-04-20,9.42,10.51,10.62,10.26,10.53,1592400
2010-04-21,9.21,10.28,10.64,10.03,10.5,2922800
2010-04-22,9.41,10.5,10.64,10.1,10.2,2683200
2010-04-23,9.81,10.95,11.06,10.64,10.69,2796400
2010-04-26,10.05,11.22,11.25,10.95,11.05,2401200
2010-04-27,9.43,10.52,11.43,10.47,11.11,2934000
2010-04-28,9.46,10.56,10.68,10.36,10.61,3124400
2010-04-29,9.41,10.51,10.73,10.44,10.66,1862400
2010-04-30,9.28,10.35,10.69,10.35,10.55,2348000
2010-05-03,10.13,11.3,11.52,10.77,10.82,5806400
2010-05-04,9.53,10.63,11.24,10.47,11.24,3158400
2010-05-05,9.49,10.59,10.79,10.25,10.48,3173200
2010-05-06,8.88,9.91,10.65,9.26,10.53,4126800
2010-05-07,9.19,10.26,10.55,9.81,9.95,5511600
2010-05-10,9.73,10.86,10.89,10.56,10.75,2487200
2010-05-11,9.93,11.08,11.13,10.59,10.69,2014400
2010-05-12,10.32,11.51,11.52,11.1,11.1,2092000
2010-05-13,10.22,11.4,11.73,11.33,11.47,1554400
2010-05-14,10.04,11.2,11.38,11.06,11.33,1351600
2010-05-17,10.18,11.36,11.52,10.98,11.24,1877200
2010-05-18,10.2,11.38,11.65,11.33,11.54,3063600
2010-05-19,10.18,11.35,11.52,11.16,11.28,3524800
2010-05-20,9.49,10.59,11.18,10.58,10.91,3647600
2010-05-21,9.94,11.09,11.2,10.28,10.29,3469200
2010-05-24,9.94,11.09,11.25,11.01,11.09,2300800
2010-05-25,10.29,11.49,11.55,10.72,10.76,3420400
2010-05-26,10.47,11.68,12.02,11.4,11.57,4450000
2010-05-27,10.91,12.18,12.26,11.78,11.88,3272000
2010-05-28,10.46,11.68,12.18,11.66,12.18,3305600
2010-06-01,10.35,11.55,11.77,11.51,11.71,2706400
2010-06-02,11.19,12.48,12.48,11.73,11.73,3725600
2010-06-03,11.27,12.57,12.68,12.31,12.31,2482000
2010-06-04,10.81,12.06,12.41,12.03,12.17,2151200
2010-06-07,10.57,11.8,12.22,11.78,12.2,1407600
2010-06-08,10.65,11.89,12.02,11.57,11.88,1396000
2010-06-09,10.72,11.96,12.29,11.89,12.05,1836000
2010-06-10,10.98,12.25,12.29,11.94,12.05,2242400
2010-06-11,11.39,12.72,12.72,11.95,12.12,4062000
2010-06-14,11.49,12.82,13.15,12.76,12.93,2737200
2010-06-15,11.6,12.94,13.06,12.84,12.84,2402800
2010-06-16,11.83,13.2,13.3,12.61,12.88,3702000
2010-06-17,11.94,13.32,13.45,13.21,13.32,2630000
2010-06-18,11.78,13.15,13.53,13.08,13.31,2214800
2010-06-21,11.59,12.93,13.43,12.84,13.4,1553200
2010-06-22,11.12,12.41,13.02,12.4,12.97,2050800
2010-06-23,11.17,12.46,12.66,12.15,12.4,2415200
2010-06-24,10.86,12.12,12.48,12.1,12.34,1735600
2010-06-25,10.64,11.88,12.24,11.76,12.14,3320400
2010-06-28,10.83,12.08,12.35,11.9,11.9,1584000
2010-06-29,10.13,11.31,11.83,11.26,11.83,2298800
2010-06-30,10.07,11.24,11.73,11.23,11.36,2297600
2010-07-01,9.92,11.06,11.64,10.81,11.36,2430400
2010-07-02,9.69,10.81,11.19,10.5,11.16,1719200
2010-07-06,10.01,11.17,11.72,10.89,10.89,3150000
2010-07-07,10.54,11.76,11.77,11.04,11.23,2097600
2010-07-08,10.6,11.83,11.94,11.56,11.79,1606000
2010-07-09,10.67,11.91,11.97,11.76,11.83,964800
2010-07-12,10.51,11.73,11.9,11.45,11.84,1304800
2010-07-13,10.7,11.94,12.0,11.81,11.89,2056800
2010-07-14,10.94,12.21,12.34,11.92,11.92,1943200
2010-07-15,10.87,12.12,12.28,11.96,12.16,1924000
2010-07-16,10.72,11.97,12.16,11.95,12.11,2047600
2010-07-19,10.69,11.93,12.02,11.45,12.02,1846400
2010-07-20,10.96,12.23,12.24,11.77,11.88,2092000
2010-07-21,10.74,11.98,12.38,11.93,12.27,2027600
2010-07-22,11.04,12.31,12.33,12.02,12.2,2332400
2010-07-23,11.2,12.5,12.53,12.27,12.31,4671200
2010-07-26,11.62,12.97,12.99,12.56,12.6,2729200
2010-07-27,11.42,12.74,13.23,12.5,13.11,3223200
2010-07-28,11.53,12.86,13.04,12.69,12.69,1910400
2010-07-29,11.59,12.94,13.09,12.65,13.01,1407200
2010-07-30,11.56,12.9,13.0,12.67,12.74,1517200
2010-08-02,11.86,13.24,13.25,13.02,13.2,1630000
2010-08-03,11.5,12.84,13.19,12.75,13.11,1120800
2010-08-04,11.49,12.82,12.95,12.66,12.94,1640800
2010-08-05,11.75,13.11,13.17,12.7,12.75,2479600
2010-08-06,11.81,13.18,13.21,12.77,12.94,1761600
2010-08-09,12.12,13.52,13.66,13.18,13.22,3949600
2010-08-10,11.88,13.25,13.48,13.13,13.48,1572800
2010-08-11,11.15,12.44,13.06,12.42,12.88,1935600
2010-08-12,11.23,12.53,12.71,12.04,12.17,1579200
2010-08-13,11.45,12.78,12.85,12.33,12.46,1547200
2010-08-16,11.67,13.02,13.09,12.57,12.69,1416000
2010-08-17,11.92,13.3,13.47,13.16,13.17,1756400
2010-08-18,12.1,13.5,13.55,13.17,13.25,3057600
2010-08-19,11.52,12.86,13.55,12.84,13.44,2227200
2010-08-20,11.21,12.51,12.77,12.2,12.77,3047600
2010-08-23,10.82,12.07,12.79,12.06,12.57,1877600
2010-08-24,10.56,11.78,11.99,11.55,11.84,2091200
2010-08-25,10.21,11.39,11.64,11.25,11.64,4030800
2010-08-26,9.97,11.13,11.5,11.11,11.44,2464800
2010-08-27,10.04,11.2,11.28,11.02,11.23,3375600
2010-08-30,9.94,11.09,11.32,11.09,11.19,2586400
2010-08-31,9.91,11.06,11.17,10.97,11.09,3633600
2010-09-01,10.13,11.3,11.38,10.98,11.23,3626000
2010-09-02,10.41,11.61,11.72,11.15,11.27,2334800
2010-09-03,10.6,11.83,12.05,11.74,11.84,2102400
2010-09-07,10.3,11.49,11.75,11.47,11.75,2116400
2010-09-08,10.15,11.33,11.56,11.26,11.51,1636800
2010-09-09,10.38,11.58,11.66,11.33,11.52,2425200
2010-09-10,10.36,11.56,11.74,11.56,11.65,1513600
2010-09-13,10.58,11.81,11.95,11.7,11.75,1616000
2010-09-14,10.63,11.86,12.16,11.68,11.75,1731200
2010-09-15,10.85,12.1,12.26,11.83,11.84,1988400
2010-09-16,10.74,11.98,12.07,11.85,12.07,1180800
2010-09-17,10.52,11.74,12.11,11.67,12.05,1693600
2010-09-20,10.63,11.86,11.92,11.75,11.81,1424800
2010-09-21,11.04,12.32,12.43,11.88,11.89,2285200
2010-09-22,10.83,12.09,12.36,12.06,12.25,1116000
2010-09-23,10.55,11.77,12.16,11.72,12.02,1524800
2010-09-24,10.72,11.97,12.08,11.86,11.95,1134800
2010-09-27,11.19,12.49,12.75,12.03,12.09,2228000
2010-09-28,11.12,12.41,12.58,12.26,12.51,1256800
2010-09-29,11.41,12.73,12.82,12.31,12.38,2074400
2010-09-30,11.43,12.76,12.96,12.73,12.81,2580800
2010-10-01,11.15,12.45,12.96,12.37,12.93,1663600
2010-10-04,10.88,12.14,12.59,12.0,12.43,1512400
2010-10-05,10.95,12.22,12.28,11.94,12.26,2567200
2010-10-06,10.92,12.19,12.4,12.09,12.22,1043600
2010-10-07,10.42,11.62,12.35,11.22,12.28,7682400
2010-10-08,10.8,12.05,12.17,11.65,11.65,3212400
2010-10-11,10.53,11.76,12.11,11.75,12.03,1256800
2010-10-12,10.6,11.83,11.88,11.64,11.69,1434000
2010-10-13,10.65,11.89,11.94,11.8,11.91,1598400
2010-10-14,10.61,11.85,11.9,11.75,11.86,1549200
2010-10-15,10.56,11.79,12.02,11.69,12.01,1681200
2010-10-18,10.66,11.9,11.91,11.76,11.79,1102800
2010-10-19,10.41,11.62,11.89,11.53,11.73,1471600
2010-10-20,11.07,12.35,12.43,11.7,11.7,2051600
2010-10-21,11.04,12.32,12.61,12.03,12.53,2862400
2010-10-22,11.28,12.59,12.61,12.32,12.36,1654800
2010-10-25,11.39,12.71,12.85,12.56,12.64,1340800
2010-10-26,11.5,12.83,12.98,12.54,12.71,1245600
2010-10-27,11.71,13.07,13.1,12.64,12.78,1369200
2010-10-28,11.83,13.2,13.26,12.92,13.12,1390400
2010-10-29,11.83,13.2,13.25,13.02,13.15,912800
2010-11-01,11.75,13.11,13.22,13.01,13.2,1336800
2010-11-02,11.93,13.31,13.35,13.14,13.22,1144000
2010-11-03,12.11,13.51,13.57,13.22,13.32,1069600
2010-11-04,12.38,13.81,13.85,13.58,13.69,1852000
2010-11-05,12.52,13.97,14.12,13.8,13.8,1722800
2010-11-08,12.34,13.77,13.93,13.68,13.88,1248400
2010-11-09,11.99,13.39,13.84,13.34,13.77,1208800
2010-11-10,12.12,13.52,13.54,13.26,13.39,1199200
2010-11-11,12.03,13.43,13.75,13.31,13.5,1162400
2010-11-12,12.07,13.47,13.69,13.32,13.32,1358400
2010-11-15,12.11,13.51,13.62,13.38,13.59,832400
2010-11-16,12.14,13.54,13.59,13.32,13.41,1828000
2010-11-17,11.85,13.23,13.67,13.16,13.58,1340800
2010-11-18,12.13,13.53,13.63,13.27,13.27,1512000
2010-11-19,12.33,13.76,13.85,13.45,13.51,1362800
2010-11-22,12.42,13.86,13.9,13.64,13.73,1116400
2010-11-23,12.24,13.66,13.77,13.56,13.74,1037200
2010-11-24,12.55,14.0,14.0,13.59,13.69,1357600
2010-11-26,12.53,13.98,14.0,13.85,13.91,727200
2010-11-29,12.43,13.88,14.04,13.66,13.88,970800
2010-11-30,12.32,13.75,13.84,13.64,13.72,998800
2010-12-01,12.42,13.86,14.0,13.76,13.95,1273600
2010-12-02,12.39,13.83,13.89,13.68,13.83,823200
2010-12-03,12.52,13.97,14.0,13.87,14.0,1138800
2010-12-06,12.55,14.01,14.09,13.88,13.96,986000
2010-12-07,12.59,14.05,14.23,13.92,14.16,1087600
2010-12-08,12.55,14.01,14.07,13.81,14.07,800800
2010-12-09,12.63,14.09,14.16,13.98,14.1,1170000
2010-12-10,12.76,14.24,14.25,13.97,14.14,1433200
2010-12-13,12.66,14.12,14.36,14.06,14.28,1080400
2010-12-14,12.62,14.09,14.3,14.04,14.12,1175600
