Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,24.86,30.41,30.51,30.09,30.36,2631000
2010-01-05,25.27,30.91,30.97,30.14,30.48,5342100
2010-01-06,25.28,30.92,30.98,30.69,30.9,3399500
2010-01-07,25.41,31.08,31.16,30.61,30.85,3694900
2010-01-08,25.52,31.21,31.29,30.79,30.89,2806800
2010-01-11,25.52,31.21,31.44,31.04,31.34,2168200
2010-01-12,25.49,31.18,31.73,31.1,31.44,5354300
2010-01-13,25.72,31.46,31.68,31.19,31.19,3517200
2010-01-14,25.87,31.64,31.73,31.05,31.35,3368900
2010-01-15,25.27,30.91,31.56,30.68,31.56,4696600
2010-01-19,25.67,31.39,31.43,30.6,30.8,3008800
2010-01-20,25.53,31.22,31.23,30.69,31.23,3577200
2010-01-21,25.21,30.83,31.43,30.43,31.16,4900800
2010-01-22,24.51,29.98,31.04,29.92,30.83,7059000
2010-01-25,24.81,30.35,30.63,29.93,30.33,4136900
2010-01-26,24.76,30.28,31.07,30.1,30.28,4427200
2010-01-27,24.76,30.28,30.54,29.75,30.22,5202500
2010-01-28,24.49,29.95,30.52,29.69,30.52,2919000
2010-01-29,24.47,29.93,30.38,29.86,30.13,2893600
2010-02-01,24.49,29.95,30.26,29.73,30.11,2324400
2010-02-02,24.95,30.52,30.55,29.85,29.85,2854600
2010-02-03,24.39,29.83,30.36,29.61,30.36,4372700
2010-02-04,23.46,28.69,29.81,28.69,29.63,6428100
2010-02-05,23.64,28.91,29.01,28.13,28.69,5576600
2010-02-08,23.19,28.36,28.85,28.32,28.84,2845000
2010-02-09,23.49,28.73,28.79,28.23,28.64,2813600
2010-02-10,23.38,28.6,28.82,28.31,28.73,3970200
2010-02-11,24.05,29.41,29.84,28.24,28.56,5967700
2010-02-12,24.14,29.53,29.59,29.06,29.24,5884500
2010-02-16,24.95,30.52,30.56,29.85,30.02,5622600
2010-02-17,25.09,30.69,30.75,30.47,30.7,4745500
2010-02-18,25.55,31.25,31.3,30.56,30.56,4801300
2010-02-19,25.53,31.22,31.28,30.87,31.07,4879900
2010-02-22,25.68,31.41,31.48,31.02,31.22,3692400
2010-02-23,25.49,31.18,31.62,31.06,31.29,5503500
2010-02-24,25.58,31.28,31.3,31.0,31.18,4225600
2010-02-25,25.59,31.3,31.31,30.65,30.83,4250500
2010-02-26,25.55,31.25,31.4,30.95,31.21,3983700
2010-03-01,25.81,31.57,31.69,31.24,31.25,4535000
2010-03-02,26.18,32.02,32.18,31.62,31.66,5472100
2010-03-03,26.16,31.99,32.3,31.93,32.07,4420400
2010-03-04,26.11,31.94,32.09,31.82,32.07,5962100
2010-03-05,26.28,32.14,32.25,31.84,32.14,4967600
2010-03-08,26.16,31.99,32.24,31.96,32.11,4463800
2010-03-09,26.06,31.87,31.96,31.73,31.82,4049600
2010-03-10,26.0,31.6,31.75,31.34,31.65,4295300
2010-03-11,26.15,31.78,31.83,31.36,31.5,3010600
2010-03-12,25.89,31.47,32.01,31.36,31.96,4125800
2010-03-15,25.45,30.93,31.42,30.67,31.35,7307800
2010-03-16,25.52,31.02,31.03,30.7,30.96,4792600
2010-03-17,25.73,31.27,31.55,31.01,31.18,5769500
2010-03-18,25.82,31.38,31.43,30.99,31.28,4156200
2010-03-19,25.72,31.26,31.49,31.07,31.26,5370200
2010-03-22,25.57,31.08,31.24,30.91,31.02,5241400
2010-03-23,25.87,31.44,31.44,30.96,31.07,2925000
2010-03-24,25.78,31.33,31.48,31.09,31.28,3228100
2010-03-25,25.97,31.56,31.97,31.32,31.52,5614700
2010-03-26,26.49,32.2,32.48,31.66,31.67,6639500
2010-03-29,26.54,32.26,32.46,32.16,32.38,3419500
2010-03-30,26.38,32.06,32.25,31.94,32.22,2404300
2010-03-31,26.58,32.31,32.35,31.86,31.95,3573000
2010-04-01,26.73,32.49,32.66,32.29,32.44,2893500
2010-04-05,26.85,32.63,32.77,32.42,32.77,2285500
2010-04-06,26.84,32.62,32.74,32.37,32.58,3026200
2010-04-07,26.96,32.77,33.12,32.43,32.52,3948400
2010-04-08,27.23,33.1,33.13,32.53,32.76,4685400
2010-04-09,27.13,32.97,33.33,32.8,33.16,3045600
2010-04-12,27.18,33.04,33.18,32.9,33.15,2390500
2010-04-13,27.2,33.06,33.26,32.92,32.92,4307600
2010-04-14,28.25,34.33,34.48,33.2,33.26,8755800
2010-04-15,28.22,34.3,34.44,33.97,34.33,4530600
2010-04-16,27.85,33.85,34.53,33.49,34.16,8637200
2010-04-19,28.13,34.19,34.31,33.11,33.62,7697200
2010-04-20,29.15,35.43,35.51,34.21,34.5,10241700
2010-04-21,28.71,34.89,35.46,34.56,35.39,5969900
2010-04-22,28.94,35.17,35.19,34.37,34.61,4905900
2010-04-23,28.95,35.19,35.25,34.8,34.97,4811300
2010-04-26,28.63,34.8,35.29,34.74,35.19,4783800
2010-04-27,27.37,33.27,34.54,33.19,34.54,7799800
2010-04-28,27.79,33.77,34.19,33.5,33.57,6624900
2010-04-29,27.37,33.27,34.28,32.67,33.95,11904400
2010-04-30,26.88,32.67,33.45,32.58,33.15,5986100
2010-05-03,27.18,33.04,33.41,32.86,32.96,3824600
2010-05-04,26.39,32.08,32.69,31.91,32.68,8419200
2010-05-05,26.9,32.69,32.95,31.61,31.61,13110300
2010-05-06,26.38,32.06,33.04,31.01,32.54,9836500
2010-05-07,26.16,31.8,32.66,31.53,31.9,8952900
2010-05-10,27.42,33.32,33.36,32.5,33.36,6275300
2010-05-11,26.95,32.75,33.25,32.66,32.87,6094600
2010-05-12,27.24,33.11,33.2,32.87,32.92,5169100
2010-05-13,26.79,32.56,33.08,32.54,33.08,4349000
2010-05-14,26.22,31.87,32.38,31.62,32.25,4684000
2010-05-17,26.32,31.99,32.1,31.38,31.86,4593200
2010-05-18,25.82,31.38,32.34,31.28,32.18,4254900
2010-05-19,25.82,31.38,31.65,30.9,31.07,5459800
2010-05-20,24.74,30.07,31.0,30.02,30.8,7285600
2010-05-21,25.13,30.54,30.6,29.47,29.51,5876300
2010-05-24,24.55,29.84,30.62,29.81,30.62,4502000
2010-05-25,24.72,30.04,30.04,28.83,29.24,4782100
2010-05-26,24.46,29.53,30.27,29.46,30.27,3848500
2010-05-27,25.49,30.77,30.79,29.96,30.02,4012800
2010-05-28,25.37,30.63,31.02,30.4,30.68,4499300
2010-06-01,24.57,29.66,30.57,29.66,30.34,4388100
2010-06-02,25.03,30.22,30.23,29.6,29.78,5564800
2010-06-03,24.99,30.17,30.48,29.96,30.38,3403500
2010-06-04,23.97,28.94,29.77,28.86,29.62,5398600
2010-06-07,23.75,28.67,29.39,28.66,29.07,4490700
2010-06-08,24.23,29.25,29.26,28.41,28.79,4775900
2010-06-09,23.9,28.85,29.49,28.76,29.31,3904000
2010-06-10,24.68,29.8,29.85,29.03,29.19,4426600
2010-06-11,24.83,29.98,29.99,29.23,29.59,2747800
2010-06-14,24.81,29.95,30.55,29.93,30.21,3425100
2010-06-15,25.4,30.67,30.72,29.92,30.13,3133100
2010-06-16,25.03,30.22,30.51,30.12,30.49,4537900
2010-06-17,24.9,30.06,30.37,29.87,30.33,5162100
2010-06-18,25.3,30.54,30.61,30.04,30.17,4636400
2010-06-21,25.07,30.27,30.93,30.11,30.84,3675100
2010-06-22,25.3,30.55,31.04,30.2,30.26,6784500
2010-06-23,25.22,30.45,30.67,30.17,30.53,6765400
2010-06-24,24.49,29.57,30.35,29.5,30.25,5300000
2010-06-25,25.54,30.83,30.85,29.43,29.79,9614800
2010-06-28,24.85,30.0,30.94,29.93,30.82,4831700
2010-06-29,24.03,29.01,29.7,28.83,29.65,6005600
2010-06-30,23.8,28.73,29.28,28.68,29.11,5248400
2010-07-01,23.52,28.39,28.87,27.97,28.87,6115400
2010-07-02,23.42,28.28,28.84,28.01,28.63,3330100
2010-07-06,23.13,27.93,28.8,27.69,28.61,4988300
2010-07-07,23.86,28.81,28.89,27.82,27.92,5268100
2010-07-08,24.19,29.21,29.29,28.86,28.89,3354300
2010-07-09,24.39,29.44,29.48,29.14,29.35,2773600
2010-07-12,24.11,29.11,29.33,28.96,29.33,3656200
2010-07-13,24.29,29.32,29.55,29.18,29.31,4162900
2010-07-14,24.02,29.0,29.38,28.78,29.14,5845300
2010-07-15,23.92,28.88,29.01,28.48,29.01,4955500
2010-07-16,23.05,27.83,28.71,27.75,28.58,7322100
2010-07-19,23.11,27.9,28.06,27.52,27.93,3760300
2010-07-20,23.42,28.27,28.31,27.25,27.44,3907900
2010-07-21,22.72,27.43,28.54,27.4,28.47,4480800
2010-07-22,23.24,28.06,28.07,27.28,27.39,5828700
2010-07-23,23.42,28.28,28.52,27.78,28.05,5192300
2010-07-26,23.47,28.33,28.45,27.93,28.18,3919300
2010-07-27,23.7,28.61,28.79,28.38,28.6,5739400
2010-07-28,23.4,28.25,28.61,28.22,28.55,4150800
2010-07-29,23.4,28.25,28.83,27.87,28.4,5635300
2010-07-30,23.39,28.24,28.45,27.76,27.94,3922900
2010-08-02,23.88,28.83,28.9,28.54,28.66,4613200
2010-08-03,23.65,28.55,28.92,28.49,28.8,5120500
2010-08-04,23.7,28.61,28.83,28.43,28.63,8532600
2010-08-05,24.36,29.41,29.61,28.58,29.33,9532400
2010-08-06,24.0,28.98,29.55,28.62,29.19,6047600
2010-08-09,24.54,29.63,29.64,29.08,29.16,5274100
2010-08-10,24.37,29.42,29.64,28.85,29.43,3667300
2010-08-11,23.37,28.22,29.01,28.2,28.99,5698100
2010-08-12,23.37,28.22,28.3,27.82,27.89,3968100
2010-08-13,23.28,28.1,28.49,28.04,28.16,3240800
2010-08-16,23.14,27.94,27.97,27.64,27.93,4369700
2010-08-17,23.39,28.24,28.32,27.86,28.14,3872100
2010-08-18,23.49,28.36,28.56,27.97,28.3,2533000
2010-08-19,23.23,28.04,28.25,27.78,28.22,4293600
2010-08-20,22.99,27.75,28.03,27.53,27.81,3541000
2010-08-23,23.12,27.91,28.08,27.62,27.69,3544100
2010-08-24,22.79,27.52,27.88,27.42,27.62,3585700
2010-08-25,23.04,27.82,27.93,27.04,27.33,3958600
2010-08-26,22.7,27.41,28.04,27.35,28.01,3714000
2010-08-27,23.35,27.99,27.99,27.1,27.47,3536600
2010-08-30,22.75,27.26,27.96,27.23,27.84,3290400
2010-08-31,23.03,27.6,27.71,26.86,27.11,4268700
2010-09-01,23.92,28.67,28.68,27.66,27.93,5521100
2010-09-02,23.88,28.62,28.68,28.35,28.63,3144300
2010-09-03,24.55,29.42,29.45,28.75,28.83,4135700
