Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,67.57,68.88,69.06,67.88,67.96,306100
2010-01-05,68.11,69.43,69.5,68.27,68.78,324600
2010-01-06,69.44,70.79,71.47,69.21,69.21,486200
2010-01-07,69.13,70.47,71.04,69.97,70.45,434000
2010-01-08,68.49,69.82,70.69,69.31,70.04,382800
2010-01-11,68.95,70.29,70.63,69.46,70.24,378100
2010-01-12,68.44,69.77,70.67,68.97,69.54,324000
2010-01-13,69.18,70.52,70.56,69.75,70.34,462000
2010-01-14,67.9,69.22,70.48,69.07,70.19,764400
2010-01-15,66.47,67.76,69.48,67.71,69.1,460800
2010-01-19,67.0,68.3,68.63,67.24,67.76,382400
2010-01-20,65.85,67.13,67.96,66.25,67.61,477500
2010-01-21,64.69,65.95,67.54,65.64,67.07,564300
2010-01-22,64.6,65.85,66.25,65.34,65.84,1070800
2010-01-25,64.75,66.01,67.71,65.85,66.65,965800
2010-01-26,62.03,63.23,65.83,63.11,65.69,800400
2010-01-27,62.68,63.9,64.33,63.06,63.17,1161600
2010-01-28,60.6,61.78,64.28,61.72,64.11,1112300
2010-01-29,59.42,60.57,63.52,60.55,62.19,892100
2010-02-01,62.9,64.12,65.19,60.66,61.12,1236400
2010-02-02,64.22,65.47,66.02,64.58,64.93,683100
2010-02-03,64.6,65.85,66.17,65.04,65.06,578800
2010-02-04,62.13,63.34,65.59,63.34,65.11,644500
2010-02-05,62.5,63.71,63.74,60.91,63.26,540700
2010-02-08,61.31,62.5,64.12,62.46,63.72,482500
2010-02-09,61.26,62.45,63.58,61.94,63.58,577400
2010-02-10,66.23,67.52,69.73,66.15,66.19,1910500
2010-02-11,66.57,67.86,68.33,67.15,67.16,651400
2010-02-12,67.4,68.71,68.76,66.16,66.79,638300
2010-02-16,68.08,69.4,69.92,68.58,69.55,416400
2010-02-17,68.44,69.77,70.0,69.05,69.99,431700
2010-02-18,67.12,68.42,69.7,68.25,69.7,658100
2010-02-19,67.58,68.89,69.48,68.16,68.16,492000
2010-02-22,69.52,70.87,71.38,68.82,69.41,752800
2010-02-23,69.0,70.34,71.38,69.7,70.79,818000
2010-02-24,69.36,70.71,71.01,70.13,70.41,314500
2010-02-25,69.28,70.62,70.73,69.28,69.83,306100
2010-02-26,69.78,71.13,71.33,69.93,70.54,353100
2010-03-01,70.84,72.21,72.29,71.0,71.15,469200
2010-03-02,72.52,73.93,74.29,72.27,72.31,686100
2010-03-03,73.06,74.48,75.51,73.42,73.89,698000
2010-03-04,75.34,76.8,77.35,74.49,74.51,995400
2010-03-05,76.47,77.95,78.08,76.37,77.69,758200
2010-03-08,75.99,77.46,78.39,77.38,77.74,494200
2010-03-09,75.47,76.93,77.76,76.58,77.15,504300
2010-03-10,75.32,76.78,77.22,76.11,76.81,711300
2010-03-11,75.47,76.93,76.99,75.59,76.4,451200
2010-03-12,76.55,78.04,78.06,76.96,77.32,450000
2010-03-15,75.36,76.82,78.67,75.86,77.97,574700
2010-03-16,76.25,77.73,77.83,76.19,76.77,382700
2010-03-17,77.54,79.05,79.79,77.98,78.09,619300
2010-03-18,77.85,79.36,79.58,78.72,79.2,351400
2010-03-19,77.22,78.72,81.08,78.7,78.72,695200
2010-03-22,78.09,79.61,79.69,77.78,78.01,512800
2010-03-23,78.93,80.46,80.61,79.28,79.6,398400
2010-03-24,78.59,80.12,81.05,79.84,79.96,685400
2010-03-25,78.29,79.81,81.43,79.76,80.98,513300
2010-03-26,79.23,80.77,81.25,79.85,80.24,583600
2010-03-29,79.16,80.7,81.2,80.06,80.93,411300
2010-03-30,78.25,79.77,81.07,79.55,80.91,463700
2010-03-31,77.5,79.0,80.02,78.78,79.71,441100
2010-04-01,79.71,81.26,81.29,79.92,79.97,697100
2010-04-05,80.9,82.47,82.81,81.34,81.77,403600
2010-04-06,82.09,83.68,83.68,80.89,81.85,651600
2010-04-07,80.96,82.53,83.6,81.83,83.29,480800
2010-04-08,79.56,81.1,82.09,80.84,82.0,584100
2010-04-09,79.74,81.29,81.44,80.27,81.3,459800
2010-04-12,78.91,80.44,81.6,80.06,81.6,467700
2010-04-13,79.67,81.22,81.43,80.08,80.41,251000
2010-04-14,81.32,82.9,82.94,80.97,81.88,604000
2010-04-15,82.4,84.0,84.13,82.33,82.44,373400
2010-04-16,81.21,82.79,84.6,81.47,83.81,692000
2010-04-19,80.72,82.29,83.85,81.45,82.19,443100
2010-04-20,81.59,83.17,83.34,82.12,82.76,328000
2010-04-21,82.2,83.8,84.22,82.87,83.46,414800
2010-04-22,82.97,84.58,84.79,82.27,82.91,402800
2010-04-23,83.76,85.39,85.55,84.47,84.97,367800
2010-04-26,80.97,82.54,85.46,82.54,85.29,741200
2010-04-27,79.75,81.3,82.87,79.51,81.81,953700
2010-04-28,81.83,83.42,84.32,82.39,82.72,648300
2010-04-29,85.39,87.05,88.01,83.91,84.14,558700
2010-04-30,82.58,84.18,86.99,84.18,86.99,657900
2010-05-03,83.71,85.33,85.66,83.5,84.24,746400
2010-05-04,82.17,83.76,84.39,82.8,83.98,548900
2010-05-05,79.53,81.07,83.79,80.92,82.87,731100
2010-05-06,76.32,77.8,82.15,73.2,80.93,1089100
2010-05-07,72.68,74.09,77.74,73.77,77.67,893600
2010-05-10,78.37,79.89,79.95,77.42,77.95,702100
2010-05-11,77.51,79.01,80.19,78.6,78.6,331100
2010-05-12,79.45,80.99,81.08,79.0,79.57,331100
2010-05-13,78.32,79.84,81.44,79.84,80.54,265700
2010-05-14,75.65,77.12,79.19,76.45,79.19,319000
2010-05-17,75.47,76.94,78.29,75.08,77.43,376800
2010-05-18,72.86,74.27,78.33,74.01,77.91,461600
2010-05-19,73.58,75.01,75.41,73.2,73.81,601600
2010-05-20,69.93,71.29,73.84,71.22,73.35,536400
2010-05-21,71.5,72.89,73.1,69.11,69.88,516900
2010-05-24,68.71,70.04,72.68,70.0,72.4,414900
2010-05-25,68.08,69.4,69.5,66.8,68.86,745100
2010-05-26,68.29,69.62,71.14,69.2,69.95,434600
2010-05-27,72.28,73.68,73.71,70.59,70.86,600600
2010-05-28,70.29,71.65,73.51,71.36,73.35,578400
2010-06-01,67.43,68.74,71.51,68.63,70.98,663200
2010-06-02,69.7,71.05,71.13,68.32,69.12,520700
2010-06-03,69.68,71.03,71.79,70.32,70.76,358200
2010-06-04,66.89,68.19,70.37,68.06,69.16,436600
2010-06-07,64.81,66.07,69.58,66.05,68.6,583600
2010-06-08,65.32,66.59,66.85,64.57,66.07,419500
2010-06-09,64.12,65.36,67.65,65.05,66.87,382200
2010-06-10,66.75,68.05,68.18,65.92,66.72,433500
2010-06-11,67.23,68.53,68.61,67.15,67.35,328700
2010-06-14,66.12,67.4,70.2,67.25,69.45,728800
2010-06-15,67.78,69.1,69.3,67.68,68.0,442200
2010-06-16,68.8,70.14,70.31,68.23,68.23,636800
2010-06-17,68.83,70.17,70.74,69.15,70.55,697000
2010-06-18,68.42,69.75,70.3,69.47,70.3,419700
