Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,47.72,63.55,65.35,62.92,64.69,467100
2010-01-05,47.21,62.88,63.77,62.35,63.5,527000
2010-01-06,46.96,62.55,63.38,62.14,62.99,566700
2010-01-07,47.4,63.13,63.49,62.1,62.55,850900
2010-01-08,47.24,62.92,63.53,62.68,63.06,665200
2010-01-11,47.49,63.25,63.92,62.7,63.64,443100
2010-01-12,47.56,63.34,63.58,62.6,62.7,1281900
2010-01-13,47.69,63.51,64.19,63.2,63.7,827500
2010-01-14,47.67,63.49,63.71,62.81,63.47,438400
2010-01-15,47.09,62.71,64.17,62.71,63.3,692900
2010-01-19,47.64,63.45,63.79,62.65,62.88,1163200
2010-01-20,48.05,63.99,64.4,63.03,64.07,961100
2010-01-21,46.78,62.3,64.14,61.96,64.12,867900
2010-01-22,46.46,61.88,63.02,61.05,62.3,975100
2010-01-25,46.59,62.05,62.57,61.32,62.57,681300
2010-01-26,45.7,60.86,61.5,60.58,61.43,671900
2010-01-27,45.7,60.87,61.15,59.45,60.74,418800
2010-01-28,45.25,60.26,60.99,59.68,60.99,344400
2010-01-29,44.85,59.73,60.94,59.31,60.36,613700
2010-02-01,45.59,60.72,61.01,59.89,60.18,423000
2010-02-02,46.18,61.5,61.59,60.12,60.72,467200
2010-02-03,46.07,61.36,61.54,60.35,61.0,576800
2010-02-04,44.05,58.67,60.95,58.64,60.77,595500
2010-02-05,44.51,59.28,59.63,57.54,58.67,381100
2010-02-08,43.08,57.37,59.51,57.34,59.51,346400
2010-02-09,42.99,57.25,58.3,56.5,58.3,604600
2010-02-10,43.05,57.34,57.74,56.12,57.15,425200
2010-02-11,42.72,56.89,57.39,55.54,57.04,579700
2010-02-12,43.83,58.38,58.46,56.13,56.13,518300
2010-02-16,45.95,61.2,61.4,59.14,59.19,551100
2010-02-17,45.85,61.07,61.67,60.58,61.27,277200
2010-02-18,46.32,61.69,62.0,60.81,60.82,496600
2010-02-19,46.24,61.59,62.03,61.26,61.47,326700
2010-02-22,46.06,61.35,62.18,61.31,62.02,402600
