Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,10.19,11.3,11.45,11.15,11.23,9306600
2010-01-05,10.21,11.32,11.36,11.21,11.24,11366100
2010-01-06,10.16,11.26,11.38,11.21,11.26,6537800
2010-01-07,9.91,10.99,11.19,10.93,11.1,15390800
2010-01-08,9.83,10.9,11.05,10.88,10.97,11002500
2010-01-11,9.82,10.89,10.98,10.83,10.91,8778400
2010-01-12,9.72,10.77,10.84,10.62,10.7,21501800
2010-01-13,9.84,10.91,10.98,10.81,10.9,14237000
2010-01-14,9.8,10.86,10.95,10.79,10.79,10650200
2010-01-15,9.82,10.89,11.07,10.8,11.02,22440700
2010-01-19,9.78,10.84,10.95,10.75,10.9,16891000
2010-01-20,9.76,10.82,10.85,10.62,10.78,24022200
2010-01-21,9.55,10.59,10.94,10.47,10.83,19218100
2010-01-22,9.35,10.37,10.64,10.3,10.56,12608200
2010-01-25,9.13,10.12,10.49,10.11,10.38,30554200
2010-01-26,9.03,10.01,10.17,9.93,10.11,42123300
2010-01-27,9.35,10.36,10.39,9.95,9.97,23699200
2010-01-28,9.25,10.25,10.41,10.17,10.34,18687500
2010-01-29,9.16,10.16,10.4,10.1,10.31,13777800
2010-02-01,9.09,10.08,10.16,10.03,10.12,13970400
2010-02-02,9.25,10.25,10.26,10.05,10.08,15094300
2010-02-03,9.44,10.46,10.56,10.26,10.31,21304300
2010-02-04,9.16,10.16,10.43,10.12,10.42,12453700
2010-02-05,9.21,10.21,10.33,10.01,10.22,15281000
2010-02-08,9.16,10.16,10.32,10.07,10.15,10408700
2010-02-09,9.07,10.05,10.21,10.02,10.1,20451700
2010-02-10,9.11,10.1,10.3,10.09,10.15,42206400
2010-02-11,9.99,11.07,11.19,10.66,10.7,56354800
2010-02-12,10.02,11.11,11.15,10.82,10.97,19642600
2010-02-16,9.93,11.01,11.15,10.98,11.12,14720100
2010-02-17,10.06,11.15,11.21,10.99,11.03,19776400
2010-02-18,9.92,10.85,11.08,10.76,11.07,21827100
2010-02-19,9.87,10.79,11.03,10.77,10.8,20025000
2010-02-22,9.72,10.63,10.83,10.62,10.8,15143600
2010-02-23,9.65,10.55,10.77,10.5,10.63,13031000
2010-02-24,9.79,10.71,10.8,10.57,10.57,11102600
2010-02-25,9.8,10.72,10.75,10.47,10.59,15238300
2010-02-26,9.72,10.63,10.81,10.61,10.65,12834200
2010-03-01,10.0,10.94,10.95,10.7,10.74,15566100
2010-03-02,9.88,10.81,10.95,10.74,10.74,19310800
2010-03-03,10.03,10.97,11.09,10.78,10.8,19886400
2010-03-04,10.09,11.03,11.03,10.83,11.01,14591300
2010-03-05,10.09,11.03,11.09,10.94,11.09,13499000
2010-03-08,10.16,11.11,11.12,10.95,11.03,9033300
2010-03-09,10.16,11.11,11.21,11.05,11.09,9534800
2010-03-10,10.22,11.18,11.27,11.1,11.13,11958800
2010-03-11,10.52,11.51,11.55,11.16,11.21,18543900
2010-03-12,10.49,11.47,11.58,11.35,11.51,18231500
2010-03-15,10.55,11.54,11.57,11.35,11.46,10987000
2010-03-16,10.64,11.64,11.66,11.47,11.52,16616600
2010-03-17,10.78,11.79,11.85,11.57,11.58,15791600
2010-03-18,10.94,11.96,12.18,11.72,11.76,26671300
2010-03-19,10.81,11.82,12.08,11.68,12.0,15778700
2010-03-22,10.94,11.96,12.03,11.77,11.85,10229200
2010-03-23,10.94,11.97,12.07,11.88,11.93,10699700
2010-03-24,10.91,11.93,12.05,11.85,12.05,10483100
2010-03-25,10.8,11.81,12.1,11.81,11.96,15387700
2010-03-26,10.94,11.97,12.05,11.8,11.84,7051500
2010-03-29,10.88,11.9,12.07,11.88,12.0,6948000
2010-03-30,11.0,12.03,12.08,11.85,11.93,8867700
2010-03-31,11.02,12.05,12.11,11.9,12.0,7404800
2010-04-01,10.9,11.92,12.24,11.83,12.08,12729800
2010-04-05,11.0,12.03,12.09,11.95,12.0,9001700
2010-04-06,11.04,12.07,12.18,11.98,12.0,11981500
2010-04-07,11.07,12.11,12.14,11.94,12.01,12221600
2010-04-08,11.08,12.12,12.22,11.96,12.06,10864800
2010-04-09,11.41,12.48,12.5,12.16,12.16,12125700
2010-04-12,11.43,12.5,12.56,12.4,12.5,11925400
2010-04-13,11.22,12.27,12.58,12.18,12.5,19151100
2010-04-14,10.88,11.9,12.34,11.89,12.28,28888600
2010-04-15,10.67,11.67,11.95,11.54,11.81,37007900
2010-04-16,10.78,11.79,11.92,11.6,11.77,24392800
2010-04-19,10.69,11.69,11.77,11.53,11.67,13600100
2010-04-20,10.85,11.87,11.95,11.64,11.71,14101900
2010-04-21,10.74,11.75,11.9,11.71,11.83,9762000
2010-04-22,10.6,11.59,11.76,11.52,11.74,18943000
2010-04-23,10.61,11.6,11.64,11.48,11.63,15415200
2010-04-26,10.59,11.58,11.62,11.39,11.59,15499500
2010-04-27,10.46,11.44,11.61,11.33,11.58,17469300
2010-04-28,9.99,10.93,11.47,10.77,11.43,43544000
2010-04-29,10.3,11.26,11.3,11.1,11.2,20128400
2010-04-30,10.13,11.08,11.23,11.0,11.23,14704600
2010-05-03,10.2,11.15,11.17,10.97,11.11,13356500
2010-05-04,10.01,10.95,11.14,10.83,11.13,15407000
2010-05-05,9.83,10.75,10.93,10.61,10.82,24726500
2010-05-06,9.59,10.49,10.83,9.99,10.75,21402900
2010-05-07,9.66,10.56,11.18,10.44,10.89,41308800
2010-05-10,9.96,10.89,11.15,10.83,11.01,13416100
2010-05-11,9.97,10.9,11.03,10.75,10.9,13524600
2010-05-12,10.17,11.12,11.17,10.79,10.88,15856400
2010-05-13,10.02,10.96,11.15,10.92,11.1,10498300
2010-05-14,9.77,10.69,10.89,10.57,10.89,14041800
2010-05-17,9.83,10.75,10.76,10.48,10.66,11719400
2010-05-18,9.72,10.63,10.87,10.57,10.75,14347700
2010-05-19,9.61,10.51,10.68,10.46,10.57,11167600
2010-05-20,9.47,10.36,10.53,10.29,10.37,16172100
2010-05-21,9.36,10.24,10.4,10.01,10.1,14324900
2010-05-24,9.37,10.25,10.41,10.21,10.21,11794000
2010-05-25,9.4,10.28,10.32,10.02,10.03,18986400
2010-05-26,9.62,10.52,10.59,10.11,10.29,18214900
2010-05-27,9.82,10.74,10.81,10.6,10.66,14898400
2010-05-28,9.83,10.75,10.85,10.62,10.77,9435900
2010-06-01,9.66,10.57,10.84,10.56,10.75,8156400
2010-06-02,9.88,10.81,10.82,10.55,10.63,9826100
2010-06-03,10.06,11.0,11.05,10.81,10.85,10171700
2010-06-04,9.78,10.7,10.95,10.66,10.82,14654300
2010-06-07,9.69,10.6,10.9,10.57,10.71,11924300
2010-06-08,9.63,10.53,10.71,10.41,10.65,9075700
2010-06-09,9.5,10.39,10.63,10.37,10.56,8695000
2010-06-10,9.77,10.69,10.69,10.48,10.48,8137100
2010-06-11,9.93,10.86,10.88,10.55,10.6,9002000
2010-06-14,10.0,10.94,11.17,10.93,10.97,9878000
2010-06-15,10.37,11.34,11.36,10.99,11.04,13529000
2010-06-16,10.2,11.15,11.3,11.09,11.2,11254000
2010-06-17,10.39,11.36,11.55,11.16,11.19,18223500
2010-06-18,10.49,11.47,11.59,11.3,11.34,13824300
2010-06-21,10.55,11.54,11.65,11.35,11.61,17698000
2010-06-22,10.24,11.2,11.6,11.16,11.54,13707200
2010-06-23,10.25,11.21,11.26,11.09,11.17,11675300
2010-06-24,10.08,11.02,11.25,11.0,11.17,6774100
2010-06-25,10.06,11.0,11.15,10.93,11.09,12790100
2010-06-28,10.08,11.02,11.08,10.89,11.08,7098600
2010-06-29,9.69,10.6,10.88,10.54,10.81,10879400
2010-06-30,9.59,10.49,10.81,10.47,10.63,13219500
2010-07-01,9.6,10.5,10.66,10.32,10.48,9840700
2010-07-02,9.73,10.64,10.69,10.35,10.5,8597500
2010-07-06,9.64,10.54,10.82,10.41,10.78,9297800
2010-07-07,10.04,10.98,10.99,10.53,10.54,12254700
2010-07-08,10.12,11.07,11.1,10.87,11.0,10224100
2010-07-09,10.14,11.09,11.13,10.99,11.08,4053700
2010-07-12,10.17,11.12,11.13,10.93,11.05,9768200
2010-07-13,10.43,11.41,11.44,11.11,11.22,12004900
2010-07-14,10.33,11.3,11.54,11.2,11.43,8141900
2010-07-15,10.36,11.33,11.42,11.19,11.32,7269300
2010-07-16,10.17,11.12,11.39,11.08,11.36,9854100
2010-07-19,10.41,11.38,11.48,11.12,11.18,11866500
2010-07-20,10.48,11.46,11.47,11.16,11.2,5556600
2010-07-21,10.28,11.24,11.5,11.21,11.48,8037900
2010-07-22,10.62,11.62,11.78,11.34,11.34,21110100
2010-07-23,10.73,11.73,11.85,11.57,11.63,10134000
2010-07-26,10.89,11.91,12.04,11.7,11.77,11466200
2010-07-27,10.92,11.94,12.04,11.77,12.02,17841500
2010-07-28,10.84,11.86,11.99,11.73,11.97,9976900
2010-07-29,10.77,11.78,11.94,11.57,11.92,8134800
2010-07-30,10.86,11.88,11.95,11.6,11.65,5960800
2010-08-02,10.93,11.95,12.09,11.85,11.92,13797200
2010-08-03,10.54,11.53,11.85,11.44,11.85,21343000
2010-08-04,10.8,11.81,11.84,11.56,11.62,17643400
2010-08-05,10.74,11.75,11.91,11.68,11.81,12934500
2010-08-06,10.05,10.99,11.21,10.88,10.91,33973500
2010-08-09,10.04,10.98,11.12,10.95,11.08,19478400
2010-08-10,10.11,11.06,11.16,10.78,10.9,17922300
2010-08-11,10.03,10.97,11.08,10.84,10.88,17087600
2010-08-12,9.9,10.83,10.97,10.76,10.84,13796400
2010-08-13,9.94,10.87,10.94,10.75,10.75,12748900
2010-08-16,9.95,10.88,11.02,10.8,10.86,9488600
2010-08-17,9.98,10.91,11.08,10.86,10.92,11162600
2010-08-18,10.06,11.0,11.15,10.86,10.88,10295600
2010-08-19,10.07,11.01,11.11,10.91,10.98,9907100
2010-08-20,10.11,11.06,11.09,10.94,10.98,7001700
2010-08-23,9.96,10.89,11.15,10.78,11.09,13582100
2010-08-24,9.83,10.75,10.87,10.63,10.8,15084100
2010-08-25,10.05,10.99,11.0,10.65,10.66,10442200
2010-08-26,9.86,10.78,11.09,10.75,10.99,10516600
2010-08-27,9.83,10.75,10.87,10.64,10.81,13278000
2010-08-30,9.69,10.6,10.79,10.6,10.69,10946900
2010-08-31,9.77,10.68,10.75,10.52,10.55,13491800
2010-09-01,9.98,10.91,10.94,10.8,10.82,10233200
2010-09-02,10.07,11.01,11.01,10.81,10.86,9372800
2010-09-03,10.25,11.21,11.22,11.04,11.14,6527400
2010-09-07,10.09,11.03,11.19,11.0,11.11,5432400
2010-09-08,10.17,11.12,11.22,11.03,11.08,5915000
2010-09-09,10.25,11.21,11.25,11.09,11.16,5226100
2010-09-10,10.18,11.13,11.25,11.05,11.15,5613700
2010-09-13,10.28,11.24,11.28,11.11,11.17,6875800
2010-09-14,10.38,11.35,11.39,11.14,11.22,8665400
2010-09-15,10.32,11.29,11.35,11.17,11.27,6495800
2010-09-16,9.83,10.75,11.3,10.69,11.25,34842300
2010-09-17,9.89,10.82,10.9,10.74,10.83,14468800
2010-09-20,9.99,10.93,10.98,10.81,10.89,9806400
2010-09-21,10.0,10.94,11.03,10.87,10.93,6692000
2010-09-22,10.08,11.02,11.13,10.95,10.95,6073300
2010-09-23,9.97,10.9,11.05,10.89,10.94,5510600
2010-09-24,9.88,10.8,11.0,10.79,11.0,9830700
2010-09-27,9.89,10.82,10.96,10.82,10.88,7999700
2010-09-28,10.2,11.16,11.2,10.84,10.93,11121400
2010-09-29,10.06,11.0,11.16,10.95,11.12,8097200
2010-09-30,9.89,10.82,11.15,10.78,11.1,18906600
2010-10-01,9.94,10.87,10.93,10.78,10.9,8072400
2010-10-04,10.05,10.99,11.09,10.89,10.89,7607500
2010-10-05,10.38,11.35,11.35,11.07,11.1,13208000
2010-10-06,10.15,11.1,11.35,11.03,11.35,7963500
2010-10-07,10.08,11.02,11.25,11.01,11.15,10392000
