Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,311.35,311.35,312.72,310.1,311.45,3937800
2010-01-05,309.98,309.98,311.89,308.76,311.56,6048500
2010-01-06,302.16,302.16,310.91,301.22,310.91,8009000
2010-01-07,295.13,295.13,303.03,294.41,302.73,12912000
2010-01-08,299.06,299.06,299.68,292.65,294.09,9509900
2010-01-11,298.61,298.61,300.28,295.1,300.28,14519600
2010-01-12,293.33,293.33,297.15,292.1,296.89,9769600
2010-01-13,291.65,291.65,292.29,285.1,286.38,13077600
2010-01-14,293.02,293.02,295.18,289.52,290.06,8535300
2010-01-15,288.13,288.13,294.86,287.15,294.75,10939600
2010-01-19,291.91,291.91,293.3,286.28,288.72,8689500
2010-01-20,288.33,288.33,291.1,285.79,291.1,6543600
2010-01-21,289.61,289.61,291.51,284.28,289.83,12697400
2010-01-22,273.23,273.23,283.46,265.7,280.43,13689200
2010-01-25,268.26,268.26,273.16,266.02,271.53,8897200
2010-01-26,269.46,269.46,273.02,266.41,267.25,8767600
2010-01-27,269.3,269.3,272.06,265.93,268.89,7980200
2010-01-28,265.42,265.42,271.73,263.59,270.49,6500100
2010-01-29,263.26,263.26,268.75,261.11,267.51,8334700
2010-02-01,264.79,264.79,266.17,263.44,265.57,4530800
2010-02-02,263.84,263.84,265.75,262.1,265.75,8245600
2010-02-03,268.66,268.66,269.3,262.41,262.63,6037000
2010-02-04,261.69,261.69,267.26,261.08,266.76,6799200
2010-02-05,263.93,263.93,265.03,259.54,262.49,6353000
2010-02-08,265.01,265.01,269.25,264.05,264.53,5423500
2010-02-09,266.49,266.49,269.02,265.81,268.03,5675700
2010-02-10,265.5,265.5,267.16,262.14,265.31,5383700
2010-02-11,266.47,266.47,268.5,263.04,264.94,4851300
2010-02-12,264.84,264.84,266.84,263.54,264.76,4589000
2010-02-16,268.9,268.9,270.31,265.42,266.7,7356200
2010-02-17,267.37,267.37,269.94,267.07,269.25,4085700
2010-02-18,269.85,269.85,270.74,266.34,267.03,4704100
2010-02-19,268.63,268.63,270.26,268.11,268.52,5139400
2010-02-22,269.65,269.65,271.98,268.75,271.91,4316900
2010-02-23,265.81,265.81,270.06,264.43,269.75,5782400
2010-02-24,264.02,264.02,267.48,263.54,265.26,4683300
2010-02-25,261.51,261.51,262.54,258.32,261.86,6661300
2010-02-26,261.7,261.7,264.16,260.05,262.01,4125100
2010-03-01,264.62,264.62,264.92,262.16,262.89,4504800
2010-03-02,268.78,268.78,271.07,265.78,266.01,8770200
2010-03-03,270.9,270.9,272.29,267.88,269.43,6218800
2010-03-04,275.5,275.5,276.27,271.34,271.48,6408800
2010-03-05,280.28,280.28,282.0,278.14,278.86,7875300
2010-03-08,279.42,279.42,280.76,278.69,280.57,4803800
2010-03-09,278.29,278.29,280.51,276.45,278.12,6394400
2010-03-10,286.36,286.36,287.38,279.29,280.06,11383300
2010-03-11,288.69,288.69,291.21,285.24,285.27,8521500
2010-03-12,287.9,287.9,292.24,287.71,292.17,5542600
2010-03-15,279.77,279.77,282.89,276.2,281.51,9368300
2010-03-16,280.77,280.77,282.37,278.57,279.1,6907500
2010-03-17,280.95,280.95,283.88,280.3,282.31,6686300
2010-03-18,281.37,281.37,282.38,279.66,280.54,3577400
2010-03-19,278.19,278.19,282.16,276.84,278.19,9650600
2010-03-22,276.95,276.95,281.59,275.35,276.26,8061700
2010-03-23,272.73,272.73,277.35,269.25,276.72,11074100
2010-03-24,276.86,276.86,278.12,268.11,270.99,13215700
2010-03-25,279.62,279.62,284.15,277.52,277.7,7912900
2010-03-26,279.53,279.53,281.86,278.2,280.81,5427400
2010-03-29,279.41,279.41,280.54,278.47,279.68,6249300
2010-03-30,281.52,281.52,281.98,278.33,279.6,3981400
2010-03-31,281.73,281.73,283.03,279.59,280.7,6100900
2010-04-01,282.56,282.56,284.87,280.95,283.83,4232700
2010-04-05,283.66,283.66,285.58,282.66,283.61,3827700
2010-04-06,282.27,282.27,283.6,280.87,282.89,4147000
2010-04-07,279.95,279.95,282.54,279.11,281.82,5195400
2010-04-08,281.91,281.91,283.08,278.22,279.84,3920200
2010-04-09,281.28,281.28,282.55,280.18,281.91,4139900
2010-04-12,284.51,284.51,285.15,281.28,281.84,4735400
2010-04-13,291.49,291.49,292.54,283.72,284.42,7875500
2010-04-14,292.6,292.6,294.26,290.12,293.12,6849700
2010-04-15,295.73,295.73,296.99,292.24,294.17,13611500
2010-04-16,273.3,273.3,282.57,273.04,279.68,24630000
2010-04-19,273.27,273.27,275.21,270.74,272.6,7838600
2010-04-20,275.73,275.73,278.02,273.75,275.29,5993400
2010-04-21,275.36,275.36,278.31,274.3,276.43,4814000
2010-04-22,271.76,271.76,274.46,269.92,274.22,6604000
2010-04-23,270.73,270.73,272.89,269.38,271.86,4205800
2010-04-26,264.1,264.1,270.73,262.9,270.72,8794400
2010-04-27,262.82,262.82,267.43,261.91,262.77,7739300
2010-04-28,262.89,262.89,265.69,258.83,264.33,6856500
2010-04-29,264.28,264.28,266.52,261.63,264.96,6157600
2010-04-30,261.15,261.15,267.1,261.02,263.85,4902300
2010-05-03,263.59,263.59,264.74,260.84,261.55,3739700
2010-05-04,251.55,251.55,261.67,250.48,261.56,12231500
2010-05-05,253.23,253.23,256.19,248.62,248.87,9223900
2010-05-06,247.72,247.72,257.09,228.51,252.73,10065200
2010-05-07,244.98,244.98,251.03,239.11,248.37,10244000
2010-05-10,259.14,259.14,259.72,254.64,255.32,8309600
2010-05-11,252.88,252.88,258.26,252.47,256.17,6688300
2010-05-12,251.06,251.06,254.37,249.38,254.37,7753600
2010-05-13,253.79,253.79,259.31,253.54,256.58,6694700
2010-05-14,252.13,252.13,253.84,246.52,253.24,8285500
2010-05-17,252.34,252.34,252.54,247.56,251.75,5623800
