Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,313.69,313.69,315.07,312.43,313.79,3908400
2010-01-05,312.31,312.31,314.23,311.08,313.9,6003300
2010-01-06,304.43,304.43,313.24,303.48,313.24,7949400
2010-01-07,297.35,297.35,305.31,296.62,305.01,12815700
2010-01-08,301.31,301.31,301.93,294.85,296.3,9439100
2010-01-11,300.86,300.86,302.53,297.32,302.53,14411300
2010-01-12,295.54,295.54,299.38,294.29,299.12,9696800
2010-01-13,293.84,293.84,294.48,287.24,288.53,12980200
2010-01-14,295.22,295.22,297.4,291.7,292.24,8471700
2010-01-15,290.29,290.29,297.08,289.31,296.97,10858100
2010-01-19,294.1,294.1,295.51,288.43,290.89,8624700
2010-01-20,290.5,290.5,293.28,287.93,293.28,6494800
2010-01-21,291.78,291.78,293.7,286.41,292.01,12602700
2010-01-22,275.28,275.28,285.59,267.7,282.53,13587100
2010-01-25,270.27,270.27,275.22,268.02,273.57,8830900
2010-01-26,271.48,271.48,275.08,268.41,269.25,8702200
2010-01-27,271.32,271.32,274.1,267.92,270.91,7920800
2010-01-28,267.41,267.41,273.77,265.57,272.52,6451700
2010-01-29,265.24,265.24,270.77,263.07,269.51,8272700
2010-02-01,266.78,266.78,268.17,265.42,267.57,4497000
2010-02-02,265.83,265.83,267.75,264.07,267.75,8184200
2010-02-03,270.68,270.68,271.32,264.38,264.6,5992200
2010-02-04,263.65,263.65,269.27,263.04,268.77,6748600
2010-02-05,265.91,265.91,267.02,261.49,264.46,6305600
2010-02-08,267.0,267.0,271.27,266.03,266.52,5383200
2010-02-09,268.49,268.49,271.04,267.8,270.04,5633500
2010-02-10,267.49,267.49,269.16,264.11,267.3,5343600
2010-02-11,268.47,268.47,270.52,265.02,266.93,4815100
2010-02-12,266.83,266.83,268.84,265.52,266.75,4554800
2010-02-16,270.92,270.92,272.34,267.42,268.7,7301400
2010-02-17,269.37,269.37,271.97,269.07,271.27,4055300
2010-02-18,271.88,271.88,272.78,268.34,269.04,4669100
2010-02-19,270.65,270.65,272.29,270.12,270.54,5101000
2010-02-22,271.67,271.67,274.02,270.77,273.95,4284900
2010-02-23,267.8,267.8,272.09,266.41,271.77,5739400
2010-02-24,266.0,266.0,269.49,265.52,267.26,4648500
2010-02-25,263.48,263.48,264.51,260.26,263.82,6611700
2010-02-26,263.66,263.66,266.14,262.0,263.97,4094500
2010-03-01,266.61,266.61,266.91,264.13,264.86,4471300
2010-03-02,270.8,270.8,273.1,267.77,268.01,8704800
2010-03-03,272.93,272.93,274.33,269.89,271.45,6172600
2010-03-04,277.57,277.57,278.34,273.37,273.52,6361200
2010-03-05,282.39,282.39,284.12,280.23,280.96,7816500
2010-03-08,281.52,281.52,282.87,280.79,282.67,4768000
2010-03-09,280.38,280.38,282.61,278.53,280.21,6346800
2010-03-10,288.51,288.51,289.54,281.39,282.16,11298400
2010-03-11,290.86,290.86,293.4,287.39,287.42,8458100
2010-03-12,290.06,290.06,294.43,289.87,294.36,5501200
2010-03-15,281.87,281.87,285.01,278.28,283.62,9298400
2010-03-16,282.88,282.88,284.49,280.66,281.2,6856100
2010-03-17,283.06,283.06,286.01,282.41,284.43,6636500
2010-03-18,283.48,283.48,284.5,281.76,282.64,3550800
2010-03-19,280.28,280.28,284.28,278.92,280.28,9578800
2010-03-22,279.03,279.03,283.71,277.42,278.33,8001500
2010-03-23,274.77,274.77,279.43,271.27,278.8,10991500
2010-03-24,278.94,278.94,280.21,270.12,273.03,13117200
2010-03-25,281.72,281.72,286.29,279.61,279.79,7853900
2010-03-26,281.63,281.63,283.98,280.29,282.92,5387000
2010-03-29,281.51,281.51,282.64,280.57,281.78,6202700
2010-03-30,283.64,283.64,284.1,280.42,281.7,3951800
2010-03-31,283.84,283.84,285.16,281.69,282.81,6055500
2010-04-01,284.68,284.68,287.01,283.06,285.96,4201100
2010-04-05,285.79,285.79,287.73,284.78,285.74,3799100
2010-04-06,284.39,284.39,285.73,282.98,285.02,4116000
2010-04-07,282.05,282.05,284.66,281.21,283.93,5156800
2010-04-08,284.03,284.03,285.21,280.31,281.94,3891100
2010-04-09,283.39,283.39,284.67,282.28,284.03,4109000
2010-04-12,286.65,286.65,287.29,283.39,283.96,4700000
2010-04-13,293.68,293.68,294.73,285.85,286.55,7816700
2010-04-14,294.79,294.79,296.47,292.3,295.33,6798500
2010-04-15,297.95,297.95,299.22,294.44,296.38,13510000
2010-04-16,275.35,275.35,284.69,275.09,281.78,24446500
2010-04-19,275.33,275.33,277.27,272.77,274.65,7780200
