Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,8.18,15.18,15.35,15.12,15.24,1332800.0
2010-01-05,8.37,15.53,15.56,15.15,15.19,3684600.0
2010-01-06,8.44,15.65,15.76,15.48,15.48,2092400.0
2010-01-07,8.48,15.73,15.78,15.52,15.61,1404400.0
2010-01-08,8.65,16.04,16.62,15.81,16.12,2466200.0
2010-01-11,8.63,16.0,16.21,15.94,16.17,1471200.0
2010-01-12,8.63,16.01,16.17,15.93,15.93,1424400.0
2010-01-13,8.71,16.16,16.23,16.01,16.09,1657400.0
2010-01-14,8.81,16.34,16.36,16.08,16.12,2864200.0
2010-01-15,8.82,16.35,16.41,16.26,16.33,1978200.0
2010-01-19,8.94,16.58,16.66,16.33,16.4,1636400.0
2010-01-20,8.88,16.47,16.52,16.29,16.46,1662200.0
2010-01-21,8.84,16.4,16.66,16.28,16.44,2532000.0
2010-01-22,8.62,15.98,16.49,15.94,16.4,2004800.0
2010-01-25,8.58,15.91,16.14,15.82,16.12,2595400.0
2010-01-26,8.56,15.87,15.95,15.69,15.92,3661000.0
2010-01-27,8.59,15.55,15.65,15.32,15.65,2056400.0
2010-01-28,8.64,15.62,15.73,15.44,15.56,1860400.0
2010-01-29,8.62,15.6,15.77,15.55,15.65,2795800.0
2010-02-01,8.66,15.65,15.68,15.44,15.68,1603800.0
2010-02-02,8.74,15.8,15.82,15.45,15.7,2437600.0
2010-02-03,8.69,15.72,15.86,15.62,15.79,1962800.0
2010-02-04,8.46,15.3,15.94,15.26,15.81,1778400.0
2010-02-05,8.49,15.35,15.38,15.06,15.28,2423200.0
2010-02-08,8.46,15.31,15.49,15.3,15.41,1696000.0
2010-02-09,8.51,15.4,15.56,15.3,15.37,816600.0
2010-02-10,8.47,15.31,15.43,15.18,15.34,1008800.0
2010-02-11,8.54,15.45,15.46,15.16,15.3,1111000.0
2010-02-12,8.56,15.48,15.49,15.24,15.38,2468800.0
2010-02-16,8.75,15.83,15.85,15.61,15.61,1185600.0
2010-02-17,8.74,15.8,15.94,15.66,15.84,1070200.0
2010-02-18,8.82,15.95,15.98,15.77,15.81,922000.0
2010-02-19,8.96,16.21,16.25,15.87,15.89,1004800.0
2010-02-22,8.96,16.22,16.41,16.15,16.25,839200.0
2010-02-23,8.87,16.04,16.23,16.01,16.14,1144600.0
2010-02-24,8.85,16.01,16.09,15.85,16.05,982800.0
2010-02-25,8.77,15.86,15.88,15.64,15.85,1317400.0
2010-02-26,8.74,15.81,15.91,15.74,15.91,905000.0
2010-03-01,8.9,16.1,16.1,15.89,15.89,1084400.0
2010-03-02,9.04,16.34,16.35,16.12,16.14,1168400.0
2010-03-03,8.98,16.24,16.42,16.19,16.33,900400.0
2010-03-04,8.99,16.25,16.3,16.07,16.3,1084600.0
2010-03-05,9.08,16.42,16.45,16.26,16.36,948800.0
2010-03-08,9.14,16.54,16.58,16.36,16.36,1316400.0
2010-03-09,9.14,16.54,16.6,16.42,16.54,992800.0
2010-03-10,9.17,16.59,16.6,16.43,16.52,924600.0
2010-03-11,9.27,16.76,16.76,16.45,16.49,1072400.0
2010-03-12,9.34,16.89,16.89,16.75,16.84,2194000.0
2010-03-15,9.29,16.81,16.93,16.75,16.83,961000.0
2010-03-16,9.26,16.75,16.88,16.7,16.81,2727200.0
2010-03-17,9.34,16.9,16.91,16.75,16.82,900800.0
2010-03-18,8.98,16.24,16.8,16.1,16.77,4559400.0
2010-03-19,9.04,16.35,16.35,16.17,16.35,3366400.0
2010-03-22,9.08,16.42,16.47,16.23,16.3,1554600.0
2010-03-23,9.25,16.73,16.8,16.39,16.41,2358200.0
2010-03-24,9.18,16.61,16.74,16.6,16.74,1512200.0
2010-03-25,9.17,16.59,16.76,16.56,16.74,1204800.0
2010-03-26,9.17,16.58,16.73,16.53,16.62,2643800.0
2010-03-29,9.25,16.73,16.75,16.6,16.61,1221400.0
2010-03-30,9.23,16.69,16.78,16.65,16.77,1207600.0
2010-03-31,9.19,16.63,16.81,16.6,16.68,1866800.0
2010-04-01,9.34,16.9,16.9,16.66,16.69,1190000.0
2010-04-05,9.38,16.97,17.08,16.88,16.91,1043200.0
2010-04-06,9.44,17.08,17.1,16.69,16.83,1028200.0
2010-04-07,9.36,16.93,17.06,16.81,17.0,877600.0
2010-04-08,9.3,16.82,16.9,16.7,16.9,872600.0
2010-04-09,9.29,16.81,16.85,16.54,16.85,1109000.0
2010-04-12,9.34,16.89,16.89,16.76,16.77,606400.0
2010-04-13,9.33,16.88,16.88,16.75,16.84,1203400.0
2010-04-14,9.48,17.15,17.23,16.88,16.91,1793000.0
2010-04-15,9.55,17.28,17.5,17.1,17.1,1874800.0
2010-04-16,9.53,17.25,17.35,17.17,17.23,2421600.0
2010-04-19,9.53,17.24,17.27,17.1,17.25,857200.0
2010-04-20,9.66,17.48,17.5,17.23,17.33,1256400.0
2010-04-21,9.77,17.67,17.73,17.47,17.47,1548800.0
2010-04-22,9.88,17.86,17.87,17.51,17.61,1410000.0
2010-04-23,9.85,17.82,17.89,17.7,17.89,1265800.0
2010-04-26,9.77,17.68,17.85,17.66,17.74,1193400.0
2010-04-27,9.45,17.1,17.58,17.08,17.57,2494400.0
2010-04-28,9.57,16.91,17.12,16.83,17.06,4027600.0
2010-04-29,9.66,17.07,17.16,16.83,16.96,2077800.0
2010-04-30,9.68,17.1,17.33,17.07,17.1,1632800.0
2010-05-03,9.77,17.26,17.3,17.04,17.14,1569800.0
2010-05-04,9.52,16.83,17.17,15.95,16.27,1910000.0
2010-05-05,9.48,16.75,16.84,16.54,16.75,1788600.0
2010-05-06,9.11,16.09,17.06,14.6,16.62,3029600.0
2010-05-07,8.99,15.89,16.27,15.74,16.07,3250800.0
2010-05-10,9.41,16.64,16.65,16.32,16.45,1886600.0
2010-05-11,9.54,16.85,17.0,16.44,16.46,2135800.0
2010-05-12,9.66,17.08,17.12,16.81,16.94,2059000.0
2010-05-13,9.69,17.12,17.25,17.01,17.01,2820000.0
2010-05-14,9.66,17.06,17.1,16.9,17.04,1742600.0
2010-05-17,9.77,17.26,17.3,16.95,17.17,2713000.0
2010-05-18,9.7,17.15,17.56,17.13,17.35,3157800.0
2010-05-19,9.49,16.77,17.12,16.64,17.11,1575200.0
2010-05-20,9.09,16.06,16.44,16.03,16.44,2439400.0
2010-05-21,9.0,15.9,15.9,15.69,15.85,4623600.0
2010-05-24,8.94,15.79,15.98,15.76,15.81,2956400.0
2010-05-25,8.81,15.57,15.61,15.2,15.45,3035200.0
2010-05-26,8.83,15.61,15.85,15.56,15.66,1578600.0
2010-05-27,9.07,16.03,16.05,15.78,15.9,1670200.0
2010-05-28,9.09,16.07,16.26,16.0,16.0,2262400.0
2010-06-01,8.93,15.77,16.1,15.76,15.98,2386600.0
2010-06-02,9.11,16.1,16.12,15.74,15.81,1167600.0
2010-06-03,9.26,16.35,16.41,16.1,16.18,1749400.0
2010-06-04,8.89,15.7,16.18,15.67,16.09,2033600.0
2010-06-07,8.93,15.78,16.07,15.7,15.73,1301400.0
2010-06-08,8.97,15.85,15.89,15.62,15.77,1435600.0
2010-06-09,8.97,15.85,16.09,15.78,15.98,1208200.0
2010-06-10,9.15,16.17,16.25,15.99,16.02,1567000.0
2010-06-11,9.17,16.19,16.23,15.96,16.0,1432600.0
2010-06-14,9.18,16.23,16.44,16.17,16.32,1314200.0
2010-06-15,9.36,16.55,16.56,16.31,16.31,1626600.0
2010-06-16,9.5,16.78,16.82,16.46,16.47,1180400.0
2010-06-17,9.58,16.93,16.94,16.73,16.85,1035600.0
2010-06-18,9.49,16.77,16.92,16.55,16.56,1056200.0
2010-06-21,9.37,16.57,16.95,16.5,16.9,1738200.0
2010-06-22,9.15,16.17,16.67,16.15,16.57,1708800.0
2010-06-23,9.0,15.91,16.17,15.86,16.17,1176600.0
2010-06-24,9.0,15.9,16.05,15.78,15.79,1569400.0
2010-06-25,9.1,16.08,16.18,15.77,15.95,1912600.0
2010-06-28,9.2,16.25,16.34,16.05,16.06,622600.0
2010-06-29,8.97,15.85,16.06,15.78,16.04,1020200.0
2010-06-30,8.98,15.87,16.17,15.76,15.85,1327600.0
2010-07-01,8.87,15.68,15.84,15.56,15.84,1547400.0
2010-07-02,8.91,15.73,15.82,15.57,15.74,1199600.0
2010-07-06,9.01,15.91,16.17,15.73,15.87,1657800.0
2010-07-07,9.31,16.45,16.45,15.9,15.9,1531200.0
2010-07-08,9.39,16.59,16.62,16.39,16.53,1189200.0
2010-07-09,9.49,16.76,16.8,16.55,16.56,1527600.0
2010-07-12,9.61,16.99,17.02,16.61,16.66,2029200.0
2010-07-13,9.72,17.18,17.24,17.01,17.11,1118200.0
2010-07-14,9.74,17.22,17.25,17.01,17.17,1113800.0
2010-07-15,9.82,17.35,17.38,17.09,17.25,1183400.0
2010-07-16,9.5,16.78,17.23,16.75,17.22,1804000.0
2010-07-19,9.59,16.95,16.97,16.73,16.87,1235600.0
2010-07-20,9.74,17.2,17.22,16.73,16.73,1027000.0
2010-07-21,9.6,16.96,17.27,16.88,17.25,869800.0
2010-07-22,9.78,17.28,17.45,17.13,17.19,1323600.0
2010-07-23,9.89,17.48,17.51,17.16,17.18,839000.0
2010-07-26,10.01,17.68,17.75,17.42,17.43,1072000.0
2010-07-27,10.2,18.02,18.04,17.75,17.8,1227600.0
2010-07-28,10.24,17.7,17.8,17.63,17.7,611400.0
2010-07-29,10.16,17.55,17.87,17.36,17.87,872000.0
2010-07-30,10.0,17.28,17.42,17.2,17.37,1102600.0
2010-08-02,10.07,17.4,17.68,17.24,17.55,4589000.0
2010-08-03,10.06,17.39,17.52,17.28,17.31,1309800.0
2010-08-04,10.14,17.52,17.56,17.33,17.44,1555600.0
2010-08-05,10.11,17.47,17.51,16.81,16.81,1320600.0
2010-08-06,10.19,17.6,17.68,17.23,17.25,1730400.0
2010-08-09,10.3,17.81,17.92,17.7,17.75,1356800.0
2010-08-10,10.3,17.81,17.87,17.58,17.58,1711800.0
2010-08-11,10.07,17.41,17.55,17.37,17.51,1006600.0
2010-08-12,10.06,17.38,17.48,17.08,17.28,1072400.0
2010-08-13,10.24,17.7,17.77,17.33,17.35,1994400.0
2010-08-16,10.26,17.74,17.75,17.49,17.67,1064000.0
2010-08-17,10.44,18.05,18.15,17.75,17.8,1542200.0
2010-08-18,10.4,17.98,18.04,17.78,17.98,1072400.0
2010-08-19,10.32,17.83,17.92,17.74,17.86,2213800.0
2010-08-20,10.29,17.79,17.82,17.7,17.74,1620200.0
2010-08-23,10.23,17.68,17.91,17.56,17.83,1869600.0
2010-08-24,10.15,17.54,17.65,17.31,17.51,1929800.0
2010-08-25,10.07,17.41,17.48,17.2,17.45,1542800.0
2010-08-26,10.11,17.47,17.54,17.38,17.49,1419400.0
2010-08-27,10.25,17.72,17.75,17.36,17.57,992600.0
2010-08-30,10.08,17.42,17.75,17.42,17.7,956200.0
2010-08-31,10.13,17.51,17.61,17.3,17.36,1971200.0
2010-09-01,10.4,17.97,17.98,17.67,17.67,1120200.0
2010-09-02,10.31,17.82,17.98,17.67,17.97,1492200.0
2010-09-03,10.37,17.92,18.0,17.8,17.98,713000.0
2010-09-07,10.34,17.88,18.05,17.85,17.98,1202000.0
2010-09-08,10.38,17.94,18.17,17.88,17.9,2562200.0
2010-09-09,10.45,18.07,18.18,17.95,18.09,1151400.0
2010-09-10,10.38,17.94,18.09,17.87,18.06,800400.0
2010-09-13,10.52,18.18,18.22,18.0,18.15,1555600.0
2010-09-14,10.53,18.19,18.3,18.09,18.12,916400.0
2010-09-15,10.48,18.11,18.2,18.05,18.1,680800.0
2010-09-16,10.42,18.0,18.14,17.98,18.08,1279200.0
2010-09-17,10.39,17.95,18.16,17.95,18.07,1824800.0
2010-09-20,10.43,18.02,18.08,17.89,17.98,1007600.0
2010-09-21,10.35,17.89,18.12,17.83,18.01,1543000.0
2010-09-22,10.4,17.98,18.09,17.89,17.89,592000.0
2010-09-23,10.29,17.78,17.95,17.76,17.9,738400.0
2010-09-24,10.44,18.03,18.11,17.95,18.01,829600.0
2010-09-27,10.48,18.11,18.22,17.89,18.03,757400.0
2010-09-28,10.52,18.18,18.2,17.92,18.12,875800.0
2010-09-29,10.49,18.12,18.28,18.07,18.16,1130000.0
2010-09-30,10.52,18.17,18.37,18.15,18.21,1247400.0
2010-10-01,10.61,18.33,18.34,18.17,18.24,716000.0
2010-10-04,10.56,18.25,18.48,18.09,18.33,988800.0
2010-10-05,10.59,18.3,18.42,18.27,18.4,1063200.0
2010-10-06,10.47,18.1,18.33,17.96,18.26,1170200.0
2010-10-07,10.46,18.08,18.22,17.85,18.11,1588000.0
2010-10-08,10.46,18.07,18.12,17.97,18.1,839800.0
2010-10-11,10.48,18.11,18.18,17.98,18.06,1165000.0
2010-10-12,10.36,17.9,18.1,17.83,18.1,1668000.0
2010-10-13,10.39,17.95,18.0,17.88,17.99,1280600.0
2010-10-14,10.39,17.96,18.08,17.92,17.98,834800.0
2010-10-15,10.46,18.08,18.16,17.93,18.07,994400.0
2010-10-18,10.55,18.24,18.25,18.03,18.07,885200.0
2010-10-19,10.53,18.19,18.35,18.08,18.08,921800.0
2010-10-20,10.62,18.36,18.5,18.19,18.25,676200.0
2010-10-21,10.57,18.26,18.49,18.15,18.43,580600.0
2010-10-22,10.59,18.31,18.33,18.17,18.26,551600.0
2010-10-25,10.64,18.4,18.5,18.33,18.38,847600.0
2010-10-26,10.6,18.33,18.49,18.24,18.33,776200.0
2010-10-27,10.73,18.15,18.18,17.86,18.17,1055600.0
2010-10-28,10.85,18.34,18.43,18.17,18.25,1239800.0
2010-10-29,10.8,18.26,18.5,18.07,18.43,1560200.0
2010-11-01,10.77,18.22,18.46,18.09,18.3,739200.0
2010-11-02,10.93,18.49,18.58,18.22,18.25,1027000.0
2010-11-03,10.94,18.5,18.6,18.36,18.5,1010200.0
2010-11-04,11.09,18.76,18.83,18.6,18.64,794400.0
2010-11-05,11.13,18.82,18.82,18.67,18.77,820000.0
2010-11-08,11.01,18.61,18.8,18.58,18.75,603000.0
2010-11-09,10.97,18.56,18.75,18.47,18.6,675800.0
2010-11-10,10.93,18.48,18.55,18.38,18.54,1166200.0
2010-11-11,10.84,18.33,18.47,18.25,18.36,906000.0
2010-11-12,10.77,18.22,18.33,18.18,18.24,1047800.0
2010-11-15,10.88,18.4,18.72,18.3,18.32,1194200.0
2010-11-16,10.66,18.02,18.35,17.91,18.32,915600.0
2010-11-17,10.72,18.12,18.2,17.98,18.06,888600.0
2010-11-18,10.83,18.31,18.33,18.18,18.26,622200.0
2010-11-19,10.73,18.15,18.29,18.09,18.25,1013000.0
2010-11-22,10.74,18.16,18.18,17.93,18.08,1379000.0
2010-11-23,10.65,18.01,18.05,17.84,18.01,707600.0
2010-11-24,10.78,18.23,18.26,18.08,18.1,936200.0
2010-11-26,10.74,18.16,18.28,18.08,18.1,317600.0
2010-11-29,10.75,18.18,18.2,17.92,18.08,786400.0
2010-11-30,10.74,18.16,18.2,17.97,18.07,1556400.0
2010-12-01,10.92,18.47,18.49,18.25,18.3,1388200.0
2010-12-02,10.94,18.5,18.65,18.3,18.5,1324800.0
2010-12-03,10.96,18.53,18.59,18.38,18.42,1278000.0
2010-12-06,10.89,18.42,18.54,18.41,18.54,773200.0
2010-12-07,10.88,18.39,18.65,18.3,18.55,1165400.0
2010-12-08,10.78,18.23,18.49,18.17,18.4,789800.0
2010-12-09,10.76,18.2,18.31,18.17,18.31,673800.0
2010-12-10,10.8,18.26,18.38,18.2,18.2,1066600.0
2010-12-13,10.88,18.4,18.42,18.25,18.33,760200.0
2010-12-14,10.96,18.52,18.61,18.43,18.45,943200.0
2010-12-15,10.79,18.25,18.55,18.22,18.53,1323200.0
2010-12-16,10.95,18.51,18.53,18.14,18.26,1707400.0
2010-12-17,10.9,18.42,18.55,18.29,18.47,2232800.0
2010-12-20,10.83,18.32,18.5,18.24,18.49,2032800.0
2010-12-21,10.87,18.38,18.46,18.26,18.34,1528800.0
2010-12-22,11.01,18.62,18.66,18.39,18.39,989200.0
2010-12-23,10.96,18.53,18.66,18.48,18.64,710400.0
2010-12-27,10.93,18.48,18.53,18.4,18.53,823400.0
2010-12-28,10.95,18.51,18.55,18.41,18.51,511600.0
2010-12-29,10.9,18.42,18.57,18.41,18.56,496800.0
2010-12-30,10.9,18.43,18.52,18.43,18.43,411200.0
2010-12-31,10.87,18.39,18.58,18.38,18.43,513400.0
2011-01-03,10.98,18.58,18.61,18.47,18.53,1129200.0
2011-01-04,11.03,18.65,18.67,18.48,18.67,1420400.0
2011-01-05,11.01,18.62,18.75,18.56,18.64,846800.0
2011-01-06,11.01,18.62,18.71,18.58,18.7,970600.0
