Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,65.8,83.02,83.45,82.67,83.09,3043700
2010-01-05,65.39,82.5,83.23,81.7,82.8,2847000
2010-01-06,66.31,83.67,84.6,83.51,83.88,5268500
2010-01-07,66.36,83.73,83.76,82.12,83.32,4470100
2010-01-08,66.83,84.32,84.32,83.3,83.69,3405800
2010-01-11,66.56,83.98,84.6,83.41,84.38,2927100
2010-01-12,66.62,84.05,84.18,83.3,83.58,3031800
2010-01-13,66.4,83.78,84.11,83.2,84.11,3102000
2010-01-14,66.18,83.5,83.93,83.42,83.74,2634100
2010-01-15,66.08,83.37,84.09,82.87,83.52,3955000
2010-01-19,67.46,85.12,85.17,83.5,83.82,4500400
2010-01-20,67.15,84.72,85.13,83.59,84.83,3671200
2010-01-21,65.55,82.7,84.6,82.57,84.6,4783200
2010-01-22,64.58,81.48,82.83,81.3,82.4,4809000
2010-01-25,64.86,81.83,82.89,81.48,82.33,3386600
2010-01-26,64.7,81.63,82.73,81.04,81.46,3138000
2010-01-27,65.23,82.3,82.84,81.01,81.33,5066900
2010-01-28,64.0,80.75,82.64,79.11,82.62,6820700
2010-01-29,63.79,80.49,81.88,80.18,81.35,4347000
2010-02-01,63.75,80.44,80.89,79.94,80.84,3632700
2010-02-02,63.75,80.43,80.94,79.7,80.7,4690000
2010-02-03,64.59,81.5,81.68,79.83,79.83,3401300
2010-02-04,62.78,79.21,81.13,78.83,81.13,5312600
2010-02-05,62.25,78.54,79.5,77.26,79.16,5408000
2010-02-08,61.45,77.53,78.48,77.25,78.48,4407300
2010-02-09,62.39,78.72,79.41,77.9,78.28,4252500
2010-02-10,62.31,78.62,79.29,78.0,78.8,2445200
2010-02-11,63.62,80.27,80.39,78.84,79.22,5524500
2010-02-12,62.76,79.18,79.23,78.07,79.14,5443000
2010-02-16,63.78,80.47,80.64,79.34,80.08,3619100
2010-02-17,63.93,80.14,80.69,79.74,80.42,3095200
2010-02-18,64.71,81.11,81.18,80.06,80.06,2702400
2010-02-19,65.03,81.52,81.74,80.61,81.14,3217900
2010-02-22,64.36,80.68,81.76,80.55,81.71,3025400
2010-02-23,63.59,79.71,81.09,79.67,80.41,3981900
2010-02-24,63.88,80.07,80.6,79.5,80.0,3530700
2010-02-25,63.61,79.74,79.77,78.64,79.16,4106300
2010-02-26,63.94,80.15,80.33,79.1,79.74,3224400
2010-03-01,64.28,80.58,80.95,80.35,80.57,2545100
2010-03-02,64.72,81.13,81.38,80.58,80.74,3365600
2010-03-03,64.62,81.0,81.68,80.86,81.16,2852300
2010-03-04,64.64,81.02,81.36,80.57,81.21,2620300
2010-03-05,65.77,82.44,82.5,81.23,81.35,3142600
2010-03-08,64.87,81.31,82.53,81.23,82.42,3627900
2010-03-09,65.41,81.99,82.13,80.74,81.15,4249800
2010-03-10,65.07,81.56,82.06,81.25,81.92,3584600
2010-03-11,64.83,81.26,81.54,80.51,81.26,4048100
2010-03-12,64.92,81.38,81.67,80.92,81.57,2945900
2010-03-15,64.83,81.26,81.66,80.78,81.16,2622300
2010-03-16,65.15,81.66,81.66,80.53,81.26,4242200
2010-03-17,65.56,82.18,82.41,81.65,81.93,3989700
2010-03-18,66.75,83.67,83.75,82.0,82.3,4939500
2010-03-19,65.39,81.96,84.0,81.51,81.96,6876200
2010-03-22,65.29,81.84,82.2,81.5,81.5,3256700
2010-03-23,65.7,82.35,82.41,81.16,82.1,4153100
2010-03-24,65.11,81.61,82.3,81.43,81.86,3102500
2010-03-25,64.56,80.93,82.25,80.84,82.01,4942500
2010-03-26,64.62,81.0,81.36,80.75,81.1,3815300
2010-03-29,64.91,81.36,81.69,81.03,81.24,3102600
2010-03-30,67.24,84.28,84.5,82.24,82.36,8704600
2010-03-31,66.67,83.57,84.46,83.35,84.05,4336700
2010-04-01,66.89,83.85,84.23,83.4,83.87,2965800
2010-04-05,67.16,84.19,84.48,83.58,84.22,2600800
2010-04-06,67.29,84.35,84.47,83.55,83.9,3208500
2010-04-07,66.74,83.66,84.63,83.2,84.11,4463500
2010-04-08,66.18,82.95,83.6,82.77,83.41,3757700
2010-04-09,66.61,83.49,83.67,82.79,82.97,2883900
2010-04-12,66.44,83.28,83.76,83.09,83.76,2626100
2010-04-13,66.96,83.94,84.24,82.69,83.04,4256000
2010-04-14,67.32,84.39,84.47,83.48,83.91,3632100
2010-04-15,67.81,85.0,85.0,83.93,84.14,4535500
2010-04-16,66.82,83.76,84.95,83.2,84.7,5342300
2010-04-19,66.93,83.9,84.13,83.14,83.61,3554200
2010-04-20,68.03,85.27,85.85,84.32,84.41,5735000
2010-04-21,68.37,85.7,85.85,85.07,85.44,4522900
2010-04-22,68.65,86.05,86.14,84.47,85.1,4627700
2010-04-23,69.07,86.58,87.09,85.93,86.18,3990600
2010-04-26,69.76,87.44,87.79,86.74,86.82,6288900
2010-04-27,70.18,87.97,90.25,87.77,89.92,11138700
2010-04-28,70.4,88.24,89.08,87.65,88.89,5730600
2010-04-29,71.26,89.33,90.0,88.64,88.94,5284200
2010-04-30,70.74,88.67,89.7,88.4,88.7,5262000
2010-05-03,71.65,89.81,90.0,88.62,89.19,4647400
2010-05-04,69.95,87.68,89.22,87.01,89.22,5456400
2010-05-05,69.08,86.59,87.22,86.08,87.04,4880000
2010-05-06,67.2,84.24,90.52,68.96,86.06,9156000
2010-05-07,65.92,82.63,84.31,81.26,83.66,8368800
2010-05-10,68.58,85.97,87.04,84.9,85.6,6271600
2010-05-11,67.84,85.04,85.97,84.87,85.18,4760800
2010-05-12,68.96,86.44,86.62,85.21,85.39,3431000
2010-05-13,68.28,85.59,87.0,85.42,86.06,3314300
2010-05-14,67.56,84.68,85.55,83.95,85.06,4138400
2010-05-17,67.56,84.68,85.14,83.02,84.88,3191700
2010-05-18,67.03,84.02,86.2,83.85,85.09,5219900
2010-05-19,66.26,82.54,83.34,81.95,83.34,6405200
2010-05-20,63.89,79.58,81.47,79.5,81.17,8752700
2010-05-21,64.79,80.7,80.77,78.14,78.42,6489700
2010-05-24,63.89,79.59,80.74,79.44,80.73,3625900
2010-05-25,63.8,79.47,79.55,77.31,78.7,5705200
2010-05-26,63.56,79.17,80.69,79.03,80.0,4720900
2010-05-27,65.37,81.43,81.53,80.04,80.41,4554900
2010-05-28,63.67,79.31,81.69,78.76,81.53,6482800
2010-06-01,62.67,78.07,79.87,77.97,78.72,4340200
2010-06-02,63.21,78.74,78.89,77.51,78.6,5773600
2010-06-03,62.89,78.34,79.76,77.66,79.29,7880900
2010-06-04,61.09,76.1,77.29,75.8,77.29,8152800
2010-06-07,60.0,74.74,76.86,74.69,76.16,5947800
2010-06-08,60.14,74.92,75.15,72.72,74.74,7229500
2010-06-09,60.04,74.79,76.1,74.5,75.47,4803100
2010-06-10,62.16,77.43,77.59,75.62,75.78,6204500
2010-06-11,62.86,78.3,78.39,76.62,76.66,4627700
2010-06-14,62.73,78.14,79.33,78.06,78.99,3612000
2010-06-15,64.04,79.77,79.86,78.74,79.09,3233200
2010-06-16,64.93,80.88,81.0,78.99,79.28,5359800
2010-06-17,65.05,81.03,81.37,79.9,81.34,3976400
2010-06-18,65.17,81.18,81.38,80.38,80.84,5255800
2010-06-21,65.4,81.47,83.0,81.07,81.96,4064000
2010-06-22,64.25,80.03,81.87,79.88,81.71,3116800
2010-06-23,64.32,80.12,80.64,79.45,80.23,3567100
2010-06-24,62.76,78.18,79.84,77.87,79.81,4340100
2010-06-25,63.34,78.9,79.09,77.88,78.53,4339900
2010-06-28,63.4,78.98,79.73,78.29,78.95,3094000
2010-06-29,63.01,78.49,79.04,76.85,78.72,8545400
2010-06-30,63.41,78.99,80.22,78.21,78.21,6942900
2010-07-01,63.06,78.55,79.38,77.83,79.06,6811700
2010-07-02,62.35,77.67,79.0,77.04,78.8,3776900
2010-07-06,62.73,78.14,79.38,77.5,78.45,4012500
2010-07-07,64.64,80.52,80.58,77.93,78.44,4957900
2010-07-08,65.2,81.22,81.59,80.09,81.12,3975800
